SEED	BEST_MATCH_SCORE	MATCH_1	MATCH_2	MATCH_3
BL-70	0	BL-70	BC-2	BC-3
Calu-1	0	Calu-1	TALL-1	Caov-2
Caov-3	0	Caov-3	Caov-2	CRO-AP3
DV-90	0	DV-90	OVCAR-10	DMS-153
EFE-184	0	EFE-184	TF-1	NCI-H1184
HCC-33	0	HCC-33	BC-3	MCC13
HT	0	HT	H2596	HCC-33
KG-1-C	0	KG-1-C	K1	MKL-1-subclone-2
KP-N-RT-BM-1	0	KP-N-RT-BM-1	KP-N-YS	KG-1-C
KYSE-30	0	KYSE-30	Kasumi-3	OSA-80
MCAS	0	MCAS	MCC13	MCC26
MDA-MB-175-VII	0	MDA-MB-175-VII	MB157	MY-M12
MHH-ES-1	0	MHH-ES-1	YMB-1-E	MY-M12
NCI-H1184	0	NCI-H1184	NCI-H1618	NCI-H128
NCI-H1385	0	NCI-H1385	NCI-H128	NCI-H735
NCI-H1437	0	NCI-H1437	NCI-H1184	NCI-H1385
NCI-H1618	0	NCI-H1618	NCI-H1184	NCI-H128
NCI-H2081	0	NCI-H2081	NCI-H128	NCI-H820
NCI-H2171	0	NCI-H2171	NCI-H2107	NCI-H1184
NCI-H460	0	NCI-H460	NCI-H1404	NCI-H220
NCI-H508	0	NCI-H508	NCI-H2081	NCI-H820
OUMS-23	0	OUMS-23	DMS-153	OMC-1
P3HR-1	0	P3HR-1	Tera-1	JHU-013
RD-ES	0	RD-ES	MHH-ES-1	VMRC-MELG
SCLC-21H	0	SCLC-21H	Calu-1	UDSCC2
SW403	0	SW403	Sarc9371	EW7476
TALL-1	0	TALL-1	Tera-1	Calu-1
TF-1	0	TF-1	TMK-1	TALL-1
Toledo	0	Toledo	TALL-1	Tera-1
VMRC-RCW	0	VMRC-RCW	VMRC-MELG	MC-IXC
NCI-H1734	0.0222222222222223	NCI-H1437	NCI-H735	NCI-H1184
NCI-H196	0.0222222222222223	NCI-H1926	NCI-H719	NCI-H1618
NCI-H211	0.0222222222222223	NCI-H2171	NCI-H1184	NCI-H1618
NCI-H2170	0.0222222222222223	NCI-H2107	NCI-H2171	NCI-H2081
NCI-H522	0.0222222222222223	NCI-H1522	NCI-H220	NCI-H128
NCI-H28	0.025	NCI-H128	NCI-H2081	NCI-H820
NCI-H82	0.025	NCI-H820	NCI-H128	NCI-H2081
NCI-H2196	0.0333333333333333	NCI-H1926	NCI-H719	NCI-H1618
BC-3C	0.0400000000000001	BC-3	BC-2	PC-3_[JPC-3]
NCI-H1092	0.0444444444444445	NCI-H1926	NCI-H128	NCI-H2081
NCI-H1355	0.0444444444444445	NCI-H1385	NCI-H735	NCI-H1437
NCI-H1373	0.0444444444444445	NCI-H1437	NCI-H1385	NCI-H2107
NCI-H1395	0.0444444444444445	NCI-H1385	NCI-H719	NCI-H735
NCI-H1435	0.0444444444444445	NCI-H1385	NCI-H1437	NCI-H735
NCI-H1436	0.0444444444444445	NCI-H1437	NCI-H460	NCI-H1184
NCI-H1568	0.0444444444444445	NCI-H1618	NCI-H865	NCI-H128
NCI-H1648	0.0444444444444445	NCI-H1618	NCI-H1184	NCI-H128
NCI-H1651	0.0444444444444445	NCI-H1618	NCI-H865	NCI-H1184
NCI-H1781	0.0444444444444445	NCI-H2171	NCI-H1184	NCI-H128
NCI-H1792	0.0444444444444445	NCI-H1926	NCI-H719	NCI-H128
NCI-H1944	0.0444444444444445	NCI-H1404	NCI-H719	NCI-H1184
NCI-H1963	0.0444444444444445	NCI-H1926	NCI-H719	NCI-H1385
NCI-H2085	0.0444444444444445	NCI-H2081	NCI-H508	NCI-H820
NCI-H2087	0.0444444444444445	NCI-H2081	NCI-H2107	NCI-H820
NCI-H2106	0.0444444444444445	NCI-H2107	NCI-H1926	NCI-H2081
NCI-H2110	0.0444444444444445	NCI-H2107	NCI-H2171	NCI-H2081
NCI-H2141	0.0444444444444445	NCI-H2171	NCI-H1184	NCI-H1404
NCI-H2172	0.0444444444444445	NCI-H2107	NCI-H2171	NCI-H1522
Set-2	0.0466666666666667	Set2	SCLC-21H	KYSE-30
NCI-H1793	0.0472222222222222	NCI-H719	NCI-H1437	NCI-H735
NCI-H2023	0.0472222222222222	NCI-H220	NCI-H820	NCI-H1522
NCI-H2029	0.0472222222222222	NCI-H220	NCI-H820	NCI-H1522
NCI-H2052	0.0472222222222222	NCI-H220	NCI-H1522	NCI-H820
NCI-H358	0.0472222222222222	NCI-H1385	NCI-H508	NCI-H735
NCI-H441	0.0472222222222222	NCI-H1404	NCI-H1184	NCI-H1437
HCC-1833	0.05	HCC-33	MCC13	BC-3
KASUMI-1	0.05	Kasumi-3	Calu-1	KMH-2
KASUMI-2	0.05	Kasumi-3	KMH-2	OUMS-23
Kasumi-6	0.05	Kasumi-3	KMH-2	KYSE-30
NCI-H146	0.05	NCI-H460	NCI-H1184	NCI-H1404
NCI-H209	0.05	NCI-H220	NCI-H820	NCI-H2081
NCI-H226	0.05	NCI-H220	NCI-H1522	NCI-H1926
NCI-H292	0.05	NCI-H220	NCI-H1522	NCI-H1926
NCI-H322	0.05	NCI-H220	NCI-H1522	NCI-H128
NCI-H446	0.05	NCI-H460	NCI-H1404	NCI-H865
NCI-H510	0.05	NCI-H508	NCI-H1404	NCI-H2107
NCI-H520	0.05	NCI-H220	NCI-H508	NCI-H820
NCI-H650	0.05	NCI-H460	NCI-H508	NCI-H865
NCI-H660	0.05	NCI-H460	NCI-H220	NCI-H508
NCI-H716	0.05	NCI-H719	NCI-H1618	NCI-H1926
NCI-H810	0.05	NCI-H820	NCI-H2081	NCI-H1404
NCI-H854	0.05	NCI-H865	NCI-H1184	NCI-H1385
VMRC-RCZ	0.05	VMRC-RCW	VMRC-MELG	MC-IXC
KM-H2	0.0533333333333334	KMH-2	MKL-2	MY-M12
KP-N-YN	0.0571428571428571	KP-N-YS	KP-N-RT-BM-1	KG-1-C
KYSE-70	0.0571428571428571	KYSE-30	BL-70	OSA-80
OUMS-27	0.0571428571428571	OUMS-23	OMC-1	OSA-80
OVCAR-4	0.0571428571428571	OVCAR-2	OVCAR-10	OVCA432
OVCAR-8	0.0571428571428571	OVCAR-2	OVCAR-10	OVCA432
YMB-1	0.0571428571428571	YMB-1-E	MY-M12	OMC-1
NCI-H1573	0.0597222222222223	NCI-H735	NCI-H1385	NCI-H1437
NCI-H1975	0.0597222222222223	NCI-H719	NCI-H735	NCI-H1385
NCI-H841	0.0597222222222223	NCI-H1184	NCI-H2081	NCI-H128
Calu-3	0.0666666666666666	Calu-1	Caov-3	BC-3
Calu-6	0.0666666666666666	Calu-1	Caov-2	Caov-3
Caov-4	0.0666666666666666	Caov-2	Caov-3	Calu-1
DMS 153	0.0666666666666667	DMS-153	MB157	MCC13
KG-1	0.0666666666666667	KG-1-C	KMH-2	TF-1
NCI-H1048	0.0694444444444445	NCI-H1184	NCI-H128	NCI-H1404
NCI-H1299	0.0694444444444445	NCI-H128	NCI-H1926	NCI-H719
NCI-H1339	0.0694444444444445	NCI-H719	NCI-H1385	NCI-H1437
NCI-H1341	0.0694444444444445	NCI-H1184	NCI-H1437	NCI-H1385
NCI-H1563	0.0694444444444445	NCI-H1385	NCI-H1437	NCI-H1522
NCI-H1581	0.0694444444444445	NCI-H1184	NCI-H128	NCI-H1385
NCI-H1623	0.0694444444444445	NCI-H128	NCI-H1926	NCI-H1385
NCI-H1650	0.0694444444444445	NCI-H460	NCI-H508	NCI-H865
NCI-H1693	0.0694444444444445	NCI-H1926	NCI-H719	NCI-H1385
NCI-H1694	0.0694444444444445	NCI-H1926	NCI-H719	NCI-H1184
NCI-H1703	0.0694444444444445	NCI-H1437	NCI-H2107	NCI-H735
NCI-H1755	0.0694444444444445	NCI-H735	NCI-H1385	NCI-H1437
NCI-H1836	0.0694444444444445	NCI-H128	NCI-H1385	NCI-H1618
NCI-H1838	0.0694444444444445	NCI-H128	NCI-H1385	NCI-H1184
NCI-H1869	0.0694444444444445	NCI-H128	NCI-H1618	NCI-H1926
NCI-H1876	0.0694444444444445	NCI-H128	NCI-H1618	NCI-H865
NCI-H1915	0.0694444444444445	NCI-H719	NCI-H1184	NCI-H1385
NCI-H1930	0.0694444444444445	NCI-H719	NCI-H1385	NCI-H1404
NCI-H2009	0.0694444444444445	NCI-H220	NCI-H820	NCI-H2081
NCI-H2030	0.0694444444444445	NCI-H220	NCI-H820	NCI-H2081
NCI-H2066	0.0694444444444445	NCI-H220	NCI-H820	NCI-H1926
NCI-H2122	0.0694444444444445	NCI-H1522	NCI-H220	NCI-H2081
NCI-H2126	0.0694444444444445	NCI-H1522	NCI-H1926	NCI-H220
NCI-H2227	0.0694444444444445	NCI-H220	NCI-H1522	NCI-H2107
NCI-H2228	0.0694444444444445	NCI-H128	NCI-H220	NCI-H1522
NCI-H2286	0.0694444444444445	NCI-H128	NCI-H220	NCI-H865
NCI-H2291	0.0694444444444445	NCI-H1522	NCI-H1926	NCI-H220
NCI-H2342	0.0694444444444445	NCI-H220	NCI-H1522	NCI-H128
NCI-H2347	0.0694444444444445	NCI-H1437	NCI-H2107	NCI-H2171
NCI-H2405	0.0694444444444445	NCI-H220	NCI-H460	NCI-H820
NCI-H2452	0.0694444444444445	NCI-H1522	NCI-H220	NCI-H128
NCI-H3255	0.0694444444444445	NCI-H735	NCI-H1385	NCI-H128
NCI-H524	0.0694444444444445	NCI-H1522	NCI-H128	NCI-H220
NCI-H526	0.0694444444444445	NCI-H1522	NCI-H1926	NCI-H865
NCI-H596	0.0694444444444445	NCI-H1926	NCI-H865	NCI-H460
NCI-H647	0.0694444444444445	NCI-H1437	NCI-H460	NCI-H719
NCI-H684	0.0694444444444445	NCI-H1184	NCI-H1618	NCI-H460
NCI-H929	0.0694444444444445	NCI-H1926	NCI-H128	NCI-H220
NCI-H69	0.073015873015873	NCI-H1926	NCI-H460	NCI-H719
MDA-MB-134-VI	0.0736263736263736	MDA-MB-175-VII	MY-M12	MB157
MDA-MB-157	0.0771428571428571	MDA-MB-175-VII	MY-M12	DMS-153
CAL-51	0.0777777777777777	Calu-1	TALL-1	Caov-2
KYSE-140	0.0785714285714286	KYSE-30	EFE-184	KG-1-C
KYSE-150	0.0785714285714286	KYSE-30	DMS-153	KG-1-C
KYSE-180	0.0785714285714286	KYSE-30	OSA-80	EFE-184
KYSE-270	0.0785714285714286	KYSE-30	Set2	KMH-2
KYSE-410	0.0785714285714286	KYSE-30	KG-1-C	TMK-1
KYSE-450	0.0785714285714286	KYSE-30	OSA-80	Kasumi-3
KYSE-510	0.0785714285714286	KYSE-30	KG-1-C	TMK-1
KYSE-520	0.0785714285714286	KYSE-30	Set2	KMH-2
NCI-H23	0.0785714285714286	NCI-H128	NCI-H220	NCI-H735
786-O	0.08	786-0	K8	CP67-MEL
WM-115	0.0888888888888888	WM1158	DMS-153	LIM1215
TE-1	0.0888888888888889	Tera-1	TF-1	TMK-1
NCI-H1105	0.0888888888888889	NCI-H1184	NCI-H1385	NCI-H1404
NCI-H1155	0.0888888888888889	NCI-H1184	NCI-H1385	NCI-H1522
NCI-H1666	0.0888888888888889	NCI-H1618	NCI-H1926	NCI-H128
NCI-H2444	0.0888888888888889	NCI-H1404	NCI-H128	NCI-H220
HCC-366	0.0904761904761905	HCC-33	BC-3	MCC13
MDA-MB-415	0.0914285714285715	MDA-MB-175-VII	MY-M12	DMS-153
SW480	0.0933333333333333	SW403	OSA-80	EW7476
KP-N-SI9s	0.0952380952380953	KP-N-YS	KP-N-RT-BM-1	KG-1-C
NCI-H661	0.098015873015873	NCI-H1618	NCI-H1926	NCI-H128
NCI-H727	0.098015873015873	NCI-H2107	NCI-H2171	NCI-H128
NCI-H747	0.098015873015873	NCI-H1437	NCI-H460	NCI-H719
NCI-H838	0.098015873015873	NCI-H1385	NCI-H128	NCI-H508
BxPC-3	0.1	BC-3	BC-2	HCC-33
NCI-H889	0.1	NCI-H128	NCI-H508	NCI-H719
VMRC-LCD	0.1	VMRC-RCW	VMRC-MELG	MC-IXC
VMRC-LCP	0.1	VMRC-RCW	VMRC-MELG	MC-IXC
PLC/PRF/5	0.103703703703704	PLC-PRF-5	PC-3_[JPC-3]	P3HR-1
CAL-120	0.105555555555556	Calu-1	Caov-2	OVCAR-10
CAL-12T	0.105555555555556	Calu-1	Caov-2	TALL-1
CAL-148	0.105555555555556	Calu-1	TALL-1	Caov-2
DMS 53	0.105555555555556	DMS-153	OUMS-23	MCAS
TM-31	0.106666666666667	TMK-1	TF-1	TI-73
HCC-1359	0.108333333333333	HCC-33	MCC13	NCI-H1385
HCC-1438	0.108333333333333	HCC-33	MCC13	NCI-H1385
