index,nci60,nci60Hts384,ccle,gdscDec15,gdsc1,gdsc2,ctrp,nciSclc,prism,almanac,achilles,mdaMills,tncats,ancats,cellosaurus_accession,cellosaurus_identifier
119,NA,NA,TALL-1,TALL-1,NA,TALL-1,TALL-1,NA,NA,NA,NA,NA,NA,NA,CVCL_1736,TALL-1
181,NA,NA,HH,HH,HH,HH,HH,NA,NA,NA,NA,NA,NA,NA,CVCL_1280,HH
194,NA,NA,H4,H4,H4,H4,NA,NA,H4,NA,H4,NA,NA,NA,CVCL_1239,H4
285,NA,NA,RCM-1,RCM-1,RCM-1,RCM-1,RCM-1,NA,RCM1,NA,NA,NA,NA,NA,CVCL_1648,RCM-1
347,NA,NA,KS-1,KS-1,KS-1,KS-1,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1343,KS-1
403,NA,NA,TT,TT,TT,TT,TT,NA,TT,NA,NA,NA,NA,NA,CVCL_1774,TT
431,NA,NA,NB-1,NB1,NB1,NB1,NB-1,NA,NB1,NA,NB1,NA,NA,NA,CVCL_1440,NB1
453,NA,NA,697,697,697,697,697,NA,NA,NA,697,NA,NA,NA,CVCL_0079,697
526,NA,NA,CJM,NA,NA,NA,CJM,NA,CJM,NA,CJM,NA,NA,NA,CVCL_U797,CJM
543,NA,NA,NA,NA,NA,NA,NA,LXFS 605L,NA,NA,NA,NA,NA,NA,CVCL_E7EL,LXFS 605L
544,NA,NA,NA,NA,NA,NA,NA,LXFS 650L,NA,NA,NA,NA,NA,NA,CVCL_E7EM,LXFS 650L
545,NA,NA,NA,MS-1,MS-1,MS-1,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1429,MS-1
567,NA,NA,ES-2,ES-2,ES-2,ES-2,ES-2,NA,ES2,NA,ES2,ES2,NA,NA,CVCL_3509,ES-2
572,NA,NA,F5,NA,NA,NA,NA,NA,NA,NA,F5,NA,NA,NA,CVCL_V616,F5
586,NA,NA,HARA,HARA,HARA,HARA,HARA,NA,HARA,NA,HARA,NA,NA,NA,CVCL_2914,HARA
628,NA,NA,HK-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_0302,HK-2
629,NA,NA,HLC-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_5529,HLC-1
788,NA,NA,ML-1,ML-1,ML-1,ML-1,ML-1,NA,NA,NA,NA,NA,NA,NA,CVCL_H525,ML-1
1031,NA,NA,U343,NA,NA,NA,NA,NA,NA,NA,U343,NA,NA,NA,CVCL_4773,U-343MGa
1115,NA,NA,NA,ES3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1199,ES3
1116,NA,NA,NA,ES5,ES5,ES5,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1201,ES5
1117,NA,NA,NA,ES6,ES6,ES6,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1202,ES6
1118,NA,NA,NA,ES7,ES7,ES7,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1203,ES7
1119,NA,NA,NA,ES8,ES8,ES8,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1204,ES8
1142,NA,NA,NA,H9,H9,H9,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1240,H9
1241,NA,NA,NA,NOS-1,NOS-1,NOS-1,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1610,NOS-1
1242,NA,NA,NA,NTERA-S-cl-D1,NTERA-2-cl-D1,NTERA-2-cl-D1,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_3407,NT2-D1
1245,NA,NA,NA,OMC-1,OMC-1,OMC-1,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1623,OMC-1
1316,NA,NA,NA,PL18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1637,Panc 05.04
1342,NA,NA,NA,ES4,ES4,ES4,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_1200,ES4
1350,NA,NA,NA,SAT,SAT,SAT,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_3160,SAT
1359,NA,NA,NA,Hs-633T,Hs-633T,Hs-633T,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_0832,Hs 633.T
1462,NA,NA,NA,MCC13,NA,NA,NA,NA,NA,NA,MCC13,NA,NA,NA,CVCL_2583,MCC13
1720,NA,NA,BT12,NA,NA,NA,NA,NA,NA,NA,BT12,NA,NA,NA,CVCL_M155,BT-12
1725,NA,NA,KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVCL_U757,KD
