"","highFreqvalue","plateau"
"740",0.549019607843137,FALSE
"750",0.962962962962963,TRUE
"752",0.0740740740740741,FALSE
"755",0.0555555555555556,FALSE
"762",0.0566037735849057,FALSE
"1390",0.925925925925926,TRUE
"3053",0.962962962962963,TRUE
"3088",0.222222222222222,FALSE
"6396",0.240740740740741,FALSE
"8806",0.148148148148148,FALSE
"9706",0.0555555555555556,FALSE
"14229",0.0714285714285714,FALSE
"18509",0.924528301886792,TRUE
"19893",0.148148148148148,FALSE
"24559",0.0555555555555556,FALSE
"25154",0.245283018867925,FALSE
"26980",0.037037037037037,FALSE
"27640",0.111111111111111,FALSE
"32065",0.962962962962963,TRUE
"34462",0.111111111111111,FALSE
"36405",0.087719298245614,FALSE
"38721",0.148148148148148,FALSE
"45388",0.759259259259259,FALSE
"45923",0.907407407407407,TRUE
"49842",0.0555555555555556,FALSE
"62343",0.867924528301887,TRUE
"63878",0.156862745098039,FALSE
"67574",0.653846153846154,FALSE
"71423",0.851851851851852,TRUE
"75520",0.037037037037037,FALSE
"77213",0.981481481481482,TRUE
"79037",0.0555555555555556,FALSE
"82151",0.12962962962963,FALSE
"92859",0.888888888888889,TRUE
"102816",0.0925925925925926,FALSE
"105014",0.0740740740740741,FALSE
"118218",0.0925925925925926,FALSE
"119875",0.872727272727273,TRUE
"122758",0.30188679245283,FALSE
"122819",0.0740740740740741,FALSE
"123127",0.0517241379310345,FALSE
"125066",0.037037037037037,FALSE
"125973",0.760869565217391,FALSE
"127716",0.833333333333333,TRUE
"130181",0.0925925925925926,FALSE
"138783",0.518518518518518,FALSE
"141540",0.0555555555555556,FALSE
"142784",0.925925925925926,TRUE
"169780",0.611111111111111,FALSE
"180973",0.0740740740740741,FALSE
"221019",0.0526315789473684,FALSE
"226080",0.111111111111111,FALSE
"246131",0.0566037735849057,FALSE
"256439",0.0740740740740741,FALSE
"256942",0.0740740740740741,FALSE
"266046",0.0555555555555556,FALSE
"279836",0.333333333333333,FALSE
"312887",0.277777777777778,FALSE
"330507",0.264150943396226,FALSE
"350625",0.0526315789473684,FALSE
"369100",0.981481481481482,TRUE
"409962",0.5,FALSE
"606869",0.0555555555555556,FALSE
"608210",0.0377358490566038,FALSE
"609699",0.166666666666667,FALSE
"613327",0.678571428571429,FALSE
"616348",0.0566037735849057,FALSE
"628503",0.923076923076923,TRUE
"637037",0.0925925925925926,FALSE
"639186",0.763636363636364,FALSE
"639966",0.160714285714286,FALSE
"649890",0.0545454545454545,FALSE
"673596",0.736842105263158,FALSE
"678515",0.962962962962963,TRUE
"679828",0.203703703703704,FALSE
"683863",0.0740740740740741,FALSE
"683864",0.259259259259259,FALSE
"686288",0.404255319148936,FALSE
"698215",0.464285714285714,FALSE
"701554",0.08,FALSE
"701852",0.0535714285714286,FALSE
"702294",0.946428571428571,TRUE
"703081",0.120689655172414,FALSE
"707545",0.290909090909091,FALSE
"710464",0.037037037037037,FALSE
"713563",0.0714285714285714,FALSE
"715055",0.0535714285714286,FALSE
"718781",0.107142857142857,FALSE
"719276",0.773584905660377,FALSE
"719345",0.982142857142857,TRUE
"719627",0.107142857142857,FALSE
"722134",0.0517241379310345,FALSE
"727859",0.120689655172414,FALSE
"732517",0.0535714285714286,FALSE
"733504",0.245283018867925,FALSE
"737754",0.0566037735849057,FALSE
"741078",0.125,FALSE
"741899",0.0892857142857143,FALSE
"743414",0.0714285714285714,FALSE
"745750",0.107142857142857,FALSE
"747599",0.0943396226415094,FALSE
"747971",0.107142857142857,FALSE
"747973",0.833333333333333,TRUE
"747974",0.0545454545454545,FALSE
"749226",0.566037735849057,FALSE
"750690",0.0535714285714286,FALSE
"750691",0.107142857142857,FALSE
"751249",0.607142857142857,FALSE
"751297",0.666666666666667,FALSE
"752493",0.296296296296296,FALSE
"752840",0.773584905660377,FALSE
"753686",0.410714285714286,FALSE
"754143",0.928571428571429,TRUE
"754230",0.982142857142857,TRUE
"754344",0.0535714285714286,FALSE
"754345",0.0526315789473684,FALSE
"754346",0.0689655172413793,FALSE
"754348",0.0701754385964912,FALSE
"754349",0.339285714285714,FALSE
"754350",0.0535714285714286,FALSE
"754352",0.0517241379310345,FALSE
"754353",0.0526315789473684,FALSE
"754354",0.0344827586206897,FALSE
"754355",0.0714285714285714,FALSE
"754356",0.0701754385964912,FALSE
"754357",0.0344827586206897,FALSE
"754358",0.109090909090909,FALSE
"754359",0.109090909090909,FALSE
"754360",0.113207547169811,FALSE
"754361",0.0350877192982456,FALSE
"754362",0.12280701754386,FALSE
"754364",0.0701754385964912,FALSE
"754365",0.0535714285714286,FALSE
"754366",0.538461538461538,FALSE
"754367",0.0555555555555556,FALSE
"755384",0.0892857142857143,FALSE
"755385",0.0689655172413793,FALSE
"755386",0.87719298245614,TRUE
"755387",0.807017543859649,TRUE
"755389",0.0689655172413793,FALSE
"755400",0.087719298245614,FALSE
"755605",0.196428571428571,FALSE
"755606",0.12280701754386,FALSE
"755761",0.666666666666667,FALSE
"755762",0.842105263157895,TRUE
"755763",0.12280701754386,FALSE
"755765",0.0689655172413793,FALSE
"755766",0.0517241379310345,FALSE
"755769",0.0555555555555556,FALSE
"755770",0.333333333333333,FALSE
"755771",0.842105263157895,TRUE
"755772",0.0701754385964912,FALSE
"755773",0.0377358490566038,FALSE
"755774",0.945454545454545,TRUE
"755775",0.0727272727272727,FALSE
"755926",0.0714285714285714,FALSE
"755927",0.105263157894737,FALSE
"755980",0.0535714285714286,FALSE
"755981",0.12962962962963,FALSE
"755983",0.894736842105263,TRUE
"755984",0.105263157894737,FALSE
"755985",0.982142857142857,TRUE
"755986",0.160714285714286,FALSE
"756641",0.0526315789473684,FALSE
"756642",0.0350877192982456,FALSE
"756643",0.0701754385964912,FALSE
"756644",0.0714285714285714,FALSE
"756645",0.0535714285714286,FALSE
"756646",0.0701754385964912,FALSE
"756647",0.1875,FALSE
"756648",0.0701754385964912,FALSE
"756649",0.0526315789473684,FALSE
"756650",0.163636363636364,FALSE
"756652",0.087719298245614,FALSE
"756653",0.631578947368421,FALSE
"756654",0.0526315789473684,FALSE
"756655",0.857142857142857,TRUE
"756656",0.0350877192982456,FALSE
"756657",0.105263157894737,FALSE
"756658",0.157894736842105,FALSE
"756659",0.0909090909090909,FALSE
"756660",0.0740740740740741,FALSE
"756662",0.0526315789473684,FALSE
"756663",0.087719298245614,FALSE
"756874",0.0555555555555556,FALSE
"756875",0.0754716981132075,FALSE
"756876",0.0754716981132075,FALSE
"756879",0.0740740740740741,FALSE
"757148",0.0526315789473684,FALSE
"757149",0.264150943396226,FALSE
"757333",0.140350877192982,FALSE
"757334",0.461538461538462,FALSE
"757437",0.84,TRUE
"757438",0.0526315789473684,FALSE
"757439",0.0392156862745098,FALSE
"757440",0.294117647058824,FALSE
"757441",0.0714285714285714,FALSE
"757444",0.0925925925925926,FALSE
"758005",0.0701754385964912,FALSE
"758006",0.421052631578947,FALSE
"758007",0.0535714285714286,FALSE
"758242",0.0701754385964912,FALSE
"758243",0.0526315789473684,FALSE
"758244",0.117647058823529,FALSE
"758245",0.0701754385964912,FALSE
"758246",0.478260869565217,FALSE
"758247",0.857142857142857,TRUE
"758248",0.105263157894737,FALSE
"758249",0.0701754385964912,FALSE
"758250",0.087719298245614,FALSE
"758251",0.0555555555555556,FALSE
"758252",0.607142857142857,FALSE
"758253",0.178571428571429,FALSE
"758254",0.0535714285714286,FALSE
"758256",0.169811320754717,FALSE
"758257",0.5,FALSE
"758484",0.0754716981132075,FALSE
"758485",0.0526315789473684,FALSE
"758486",0.0526315789473684,FALSE
"758487",0.0535714285714286,FALSE
"758488",0.0526315789473684,FALSE
"758489",0.781818181818182,FALSE
"758490",0.0701754385964912,FALSE
"758591",0.928571428571429,TRUE
"758774",0.0535714285714286,FALSE
"758871",0.087719298245614,FALSE
"758872",0.0526315789473684,FALSE
"758873",0.0727272727272727,FALSE
"759094",0.0526315789473684,FALSE
"759095",0.105263157894737,FALSE
"759096",0.0555555555555556,FALSE
"759224",0.160714285714286,FALSE
"759498",0.0535714285714286,FALSE
"759657",0.473684210526316,FALSE
"759658",0.0350877192982456,FALSE
"759659",0.109090909090909,FALSE
"759660",0.0526315789473684,FALSE
"759661",0.0526315789473684,FALSE
"759675",0.0701754385964912,FALSE
"759676",0.0526315789473684,FALSE
"759677",0.04,FALSE
"759905",0.0526315789473684,FALSE
"760143",0.0526315789473684,FALSE
"760144",0.0377358490566038,FALSE
"760444",0.0701754385964912,FALSE
"760536",0.0526315789473684,FALSE
"760764",0.0545454545454545,FALSE
"760765",0.0535714285714286,FALSE
"760766",0.0545454545454545,FALSE
"760841",0.0566037735849057,FALSE
"760842",0.0740740740740741,FALSE
"760843",0.087719298245614,FALSE
"761068",0.0892857142857143,FALSE
"761069",0.175438596491228,FALSE
"761070",0.163636363636364,FALSE
"761188",0.0350877192982456,FALSE
"761189",0.890909090909091,TRUE
"761190",0.375,FALSE
"761192",0.0526315789473684,FALSE
"761193",0.105263157894737,FALSE
"761194",0.0701754385964912,FALSE
"761215",0.456140350877193,FALSE
"761216",0.114285714285714,FALSE
"761217",0.12280701754386,FALSE
"761266",0.727272727272727,FALSE
"761385",0.12,FALSE
"761387",0.0701754385964912,FALSE
"761431",0.0576923076923077,FALSE
"761432",0.980392156862745,TRUE
"761690",0.087719298245614,FALSE
"761691",0.245614035087719,FALSE
"761692",0.0701754385964912,FALSE
"761693",0.0526315789473684,FALSE
"761759",0.0526315789473684,FALSE
"761760",0.0701754385964912,FALSE
"761879",0.0526315789473684,FALSE
"761910",0.0727272727272727,FALSE
"761931",0.140350877192982,FALSE
"762151",0.0526315789473684,FALSE
"762152",0.0909090909090909,FALSE
"762153",0.037037037037037,FALSE
"762154",0.392857142857143,FALSE
"762381",0.0701754385964912,FALSE
"762382",0.0526315789473684,FALSE
"762418",0.111111111111111,FALSE
"762419",0.0566037735849057,FALSE
"762521",0.245283018867925,FALSE
"762598",0.611111111111111,FALSE
"762672",0.0526315789473684,FALSE
"762673",0.0701754385964912,FALSE
"762829",0.894736842105263,TRUE
"763094",0.859649122807018,TRUE
"763371",0.109090909090909,FALSE
"763443",0.132075471698113,FALSE
"763444",0.0545454545454545,FALSE
"763525",0.232142857142857,FALSE
"763526",0.087719298245614,FALSE
"763527",0.490909090909091,FALSE
"763564",0.037037037037037,FALSE
"763579",0.0727272727272727,FALSE
"763758",0.127272727272727,FALSE
"763929",0.0555555555555556,FALSE
"763932",0.0727272727272727,FALSE
"764036",0.981818181818182,TRUE
"764037",0.109090909090909,FALSE
"764039",0.0363636363636364,FALSE
"764040",0.113207547169811,FALSE
"764041",0.06,FALSE
"764042",0.181818181818182,FALSE
"764043",0.0526315789473684,FALSE
"764090",0.0526315789473684,FALSE
"764091",0.0701754385964912,FALSE
"764092",0.642857142857143,FALSE
"764134",0.162790697674419,FALSE
"764135",0.0740740740740741,FALSE
"764136",0.0545454545454545,FALSE
"764237",0.0727272727272727,FALSE
"764238",0.0727272727272727,FALSE
"764239",0.0526315789473684,FALSE
"764276",0.537037037037037,FALSE
"764334",0.0545454545454545,FALSE
"764481",0.0666666666666667,FALSE
"764487",0.0701754385964912,FALSE
"764515",0.037037037037037,FALSE
"764516",0.0363636363636364,FALSE
"764517",0.0714285714285714,FALSE
"764579",0.0754716981132075,FALSE
"764580",0.0526315789473684,FALSE
"764581",0.0727272727272727,FALSE
"764582",0.0925925925925926,FALSE
"764608",0.0526315789473684,FALSE
"764609",0.105263157894737,FALSE
"764658",0.240740740740741,FALSE
"764659",0.0740740740740741,FALSE
"764755",0.0740740740740741,FALSE
"764756",0.0740740740740741,FALSE
"764757",0.589285714285714,FALSE
"764764",0.163636363636364,FALSE
"764765",0.105263157894737,FALSE
"764820",0.0350877192982456,FALSE
"764821",0.0526315789473684,FALSE
"764823",0.0526315789473684,FALSE
"765395",0.0526315789473684,FALSE
"765396",0.444444444444444,FALSE
"765435",0.678571428571429,FALSE
"765436",0.0350877192982456,FALSE
"765632",0.701754385964912,FALSE
"765672",0.0727272727272727,FALSE
"765694",0.0727272727272727,FALSE
"765695",0.0526315789473684,FALSE
"765775",0.842105263157895,TRUE
"765776",0.0701754385964912,FALSE
"765865",0.0545454545454545,FALSE
"765866",0.0943396226415094,FALSE
"765888",0.127272727272727,FALSE
"765889",0.140350877192982,FALSE
"765898",0.107142857142857,FALSE
"765949",0.12280701754386,FALSE
"765974",0.0545454545454545,FALSE
"766254",0.789473684210526,FALSE
"766255",0.105263157894737,FALSE
"766270",0.294117647058824,FALSE
"766271",0.2,FALSE
"766288",0.836363636363636,TRUE
"766811",0.228070175438596,FALSE
"766819",0.105263157894737,FALSE
"766820",0.0545454545454545,FALSE
"766821",0.818181818181818,TRUE
"766824",0.0526315789473684,FALSE
"766887",0.0701754385964912,FALSE
"766888",0.418181818181818,FALSE
"766906",0.0526315789473684,FALSE
"766907",0.0526315789473684,FALSE
"766908",0.0701754385964912,FALSE
"766991",0.431372549019608,FALSE
"766992",0.181818181818182,FALSE
"767006",0.105263157894737,FALSE
"767048",0.0377358490566038,FALSE
"767123",0.0526315789473684,FALSE
"767124",0.087719298245614,FALSE
"767125",0.203703703703704,FALSE
"767128",0.333333333333333,FALSE
"767470",0.814814814814815,TRUE
"767533",0.818181818181818,TRUE
"767598",0.0545454545454545,FALSE
"767599",0.0545454545454545,FALSE
"767600",0.0545454545454545,FALSE
"767601",0.0701754385964912,FALSE
"767745",0.428571428571429,FALSE
"767746",0.087719298245614,FALSE
"767896",0.228070175438596,FALSE
"767897",0.087719298245614,FALSE
"767898",0.0701754385964912,FALSE
"767951",0.867924528301887,TRUE
"767952",0.0545454545454545,FALSE
"767953",0.0350877192982456,FALSE
"767954",0.508771929824561,FALSE
"768011",0.0526315789473684,FALSE
"768068",0.2,FALSE
"768069",0.0701754385964912,FALSE
"768070",0.0363636363636364,FALSE
"768071",0.0727272727272727,FALSE
"768072",0.415094339622642,FALSE
"768073",0.0727272727272727,FALSE
"768112",0.672727272727273,FALSE
"768508",0.0909090909090909,FALSE
"768509",0.0526315789473684,FALSE
"768536",0.963636363636364,TRUE
"768593",0.0909090909090909,FALSE
"771532",0.0526315789473684,FALSE
"771644",0.0566037735849057,FALSE
"771649",0.854545454545454,TRUE
"771650",0.0851063829787234,FALSE
"771651",0.0769230769230769,FALSE
"771652",0.303571428571429,FALSE
"771750",0.0526315789473684,FALSE
"771751",0.947368421052632,TRUE
"771858",0.113207547169811,FALSE
"772196",0.350877192982456,FALSE
"772197",0.363636363636364,FALSE
"772198",0.196428571428571,FALSE
"772254",0.836363636363636,TRUE
"772255",0.814814814814815,TRUE
"772290",0.508771929824561,FALSE
"772291",0.333333333333333,FALSE
"772351",0.140350877192982,FALSE
"772469",0.0545454545454545,FALSE
"772498",0.111111111111111,FALSE
"772499",0.0701754385964912,FALSE
"772563",0.407407407407407,FALSE
"772564",0.0526315789473684,FALSE
"772595",0.0350877192982456,FALSE
"772868",0.0526315789473684,FALSE
"772885",0.0526315789473684,FALSE
"772886",0.0526315789473684,FALSE
"772887",0.0526315789473684,FALSE
"772920",0.0701754385964912,FALSE
"772991",0.315789473684211,FALSE
"772992",0.0943396226415094,FALSE
"773094",0.0535714285714286,FALSE
"773095",0.927272727272727,TRUE
"773096",0.771929824561403,FALSE
"773230",0.472727272727273,FALSE
"773260",0.490909090909091,FALSE
"773261",0.836363636363636,TRUE
"773262",0.06,FALSE
"773264",0.0545454545454545,FALSE
"773265",0.0526315789473684,FALSE
"773394",0.0943396226415094,FALSE
"774651",0.245283018867925,FALSE
"774769",0.163636363636364,FALSE
"774829",0.0625,FALSE
"774830",0.0754716981132075,FALSE
"774831",0.0350877192982456,FALSE
"774901",0.285714285714286,FALSE
"774911",0.0754716981132075,FALSE
"775018",0.087719298245614,FALSE
"775306",0.037037037037037,FALSE
"775351",0.981818181818182,TRUE
"775636",0.0566037735849057,FALSE
"775637",0.0350877192982456,FALSE
"775665",0.981818181818182,TRUE
"775727",0.636363636363636,FALSE
"775771",0.62962962962963,FALSE
"775772",0.345454545454545,FALSE
"776017",0.0545454545454545,FALSE
"776043",0.0526315789473684,FALSE
"776066",0.127272727272727,FALSE
"776422",0.0909090909090909,FALSE
"776762",0.0701754385964912,FALSE
"776786",0.0727272727272727,FALSE
"776787",0.0526315789473684,FALSE
"776790",0.0545454545454545,FALSE
"776821",0.12280701754386,FALSE
"776996",0.0363636363636364,FALSE
"777109",0.745454545454545,FALSE
"777194",0.963636363636364,TRUE
"777425",0.0526315789473684,FALSE
"777445",0.127272727272727,FALSE
"777446",0.0701754385964912,FALSE
"777447",0.0526315789473684,FALSE
"777448",0.464285714285714,FALSE
"777571",0.0892857142857143,FALSE
"777572",0.0350877192982456,FALSE
"777573",0.0526315789473684,FALSE
"777586",0.037037037037037,FALSE
"777638",0.0545454545454545,FALSE
"777639",0.254545454545455,FALSE
"777671",0.0545454545454545,FALSE
"777718",0.0526315789473684,FALSE
"777877",0.0363636363636364,FALSE
"777878",0.945454545454545,TRUE
"777879",0.0701754385964912,FALSE
"778304",0.132075471698113,FALSE
