	igdsc	imda	igenSarcoma	incats	igensclc	itncats	iccle	curation
9505BIK	NA	NA	NA	NA	NA	NA	NA	
95T1000	NA	NA	NA	NA	NA	NA	NA	
A375SKINCJ1	NA	NA	NA	NA	NA	NA	NA	
A375SKINCJ2	NA	NA	NA	NA	NA	NA	NA	
A375SKINCJ3	NA	NA	NA	NA	NA	NA	NA	
A388	1348	NA	NA	NA	NA	NA	NA	
A431	1057	NA	NA	1057	NA	NA	NA	
ANGMCSS	NA	NA	NA	NA	NA	NA	NA	
ASH3	1363	NA	NA	NA	NA	NA	NA	ASH-3
BICR78	1349	NA	NA	NA	NA	NA	NA	
BIN67	NA	NA	NA	NA	NA	NA	NA	
BLUE1	NA	1740	NA	NA	NA	NA	NA	
BOKU	1070	NA	NA	NA	NA	NA	NA	
BT16	NA	NA	NA	NA	NA	NA	NA	
C10	NA	NA	NA	NA	NA	NA	NA	
C33A	NA	NA	NA	NA	NA	NA	NA	
C4II	NA	NA	NA	NA	NA	NA	NA	
C75	NA	NA	NA	NA	NA	NA	NA	
C80	NA	NA	NA	NA	NA	NA	NA	
C84	NA	NA	NA	NA	NA	NA	NA	
C99	NA	NA	NA	NA	NA	NA	NA	
CAL72	1079	NA	NA	NA	NA	NA	NA	CAL-72
CASKI	NA	NA	NA	NA	NA	NA	NA	
CCLFPEDS0001T	NA	NA	NA	NA	NA	NA	NA	
CCLFPEDS0003T	NA	NA	NA	NA	NA	NA	NA	
CCLFPEDS0008T	NA	NA	NA	NA	NA	NA	NA	
CCLP1	NA	NA	NA	NA	NA	NA	NA	
CCSW1	NA	NA	NA	NA	NA	NA	NA	
CHLA06ATRT	NA	NA	NA	NA	NA	NA	NA	
CHLA15	NA	NA	NA	NA	NA	NA	NA	
CHLA266	NA	NA	NA	NA	NA	NA	NA	
CHLA57	NA	NA	NA	NA	NA	NA	NA	
CI	NA	NA	NA	NA	NA	NA	NA	
CII	NA	NA	NA	NA	NA	NA	NA	
CME1	NA	NA	NA	NA	NA	NA	NA	
COGAR359	NA	NA	NA	NA	NA	NA	NA	
COGE352	NA	NA	1798	NA	NA	NA	NA	COG-E-352
COGN278	NA	NA	NA	NA	NA	NA	NA	
COGN305	NA	NA	NA	NA	NA	NA	NA	
COV413A	NA	NA	NA	NA	NA	NA	NA	
CW9019	NA	NA	NA	NA	NA	NA	NA	
D341	NA	NA	NA	NA	NA	NA	552	D341MED
D425	NA	NA	NA	NA	NA	NA	NA	
D458	NA	NA	NA	NA	NA	NA	NA	
DOTC24510	1111	NA	NA	NA	NA	NA	NA	DoTc2-4510
ECC2	NA	NA	NA	NA	NA	NA	NA	
EGI1	1115	NA	NA	NA	NA	NA	NA	EGI-1
EMTOKA	NA	NA	NA	NA	NA	NA	NA	
ESO26	1370	NA	NA	NA	NA	NA	NA	
FLO1	1443	NA	NA	NA	NA	NA	NA	FLO-1
GIMEN	1137	NA	NA	NA	NA	NA	NA	GI-ME-N
GP5D	1141	1141	NA	NA	NA	NA	NA	
H103	NA	NA	NA	NA	NA	NA	NA	
H357	NA	NA	NA	NA	NA	NA	NA	
H376	NA	NA	NA	NA	NA	NA	NA	
H413	NA	NA	NA	NA	NA	NA	NA	
HB1119	NA	NA	NA	NA	NA	NA	NA	
HCA1	NA	NA	NA	NA	NA	NA	NA	
HCS2	NA	NA	NA	NA	NA	NA	NA	
HEC1	115	NA	NA	NA	NA	NA	NA	HEC-1
HG3	NA	NA	NA	NA	NA	NA	NA	
HKA1	NA	NA	NA	NA	NA	NA	NA	
HKGZCC	NA	NA	NA	NA	NA	NA	NA	
HMY1	NA	NA	NA	NA	NA	NA	NA	
HSB2	NA	NA	NA	NA	NA	NA	NA	
HSC1	NA	NA	NA	NA	NA	NA	NA	
HSC5	NA	NA	NA	NA	NA	NA	NA	
HT3	1155	NA	NA	NA	NA	NA	NA	HT-3
HUO9	1158	NA	NA	NA	NA	NA	NA	
ICC106	NA	NA	NA	NA	NA	NA	NA	
ICC108	NA	NA	NA	NA	NA	NA	NA	
ICC12	NA	NA	NA	NA	NA	NA	NA	
ICC15	NA	NA	NA	NA	NA	NA	NA	
ICC2	NA	NA	NA	NA	NA	NA	NA	
ICC3	NA	NA	NA	NA	NA	NA	NA	
ICC8	NA	NA	NA	NA	NA	NA	NA	
ICC9	NA	NA	NA	NA	NA	NA	NA	
JAR	1166	NA	NA	NA	NA	NA	NA	
JEG3	1167	NA	NA	NA	NA	NA	NA	JEG-3
JHC7	NA	NA	NA	NA	NA	NA	NA	
JMURTK2	NA	NA	NA	NA	NA	NA	NA	
JOPACA1	NA	NA	NA	NA	NA	NA	NA	
JR	NA	1719	NA	NA	NA	NA	NA	
KKU100	NA	NA	NA	NA	NA	NA	NA	
KKU213	NA	NA	NA	NA	NA	NA	NA	
KMCH1	NA	NA	NA	NA	NA	NA	NA	
KON	1350	NA	NA	NA	NA	NA	NA	
LAN2	NA	NA	NA	NA	NA	NA	NA	
LPS141	NA	NA	NA	NA	NA	NA	NA	
LPS27	NA	NA	NA	NA	NA	NA	NA	
LPS6	NA	NA	NA	NA	NA	NA	NA	
LPS853	NA	NA	NA	NA	NA	NA	NA	
LS	NA	NA	NA	NA	NA	NA	NA	
LU135	481	NA	NA	NA	NA	NA	NA	LU-135
MB1	NA	NA	NA	NA	NA	NA	NA	
MCC13	1469	NA	NA	NA	NA	NA	NA	
MCC142	NA	NA	NA	NA	NA	NA	NA	
MCC26	1470	NA	NA	NA	NA	NA	NA	
MEL202	NA	NA	NA	NA	NA	NA	NA	
MEL285	NA	NA	NA	NA	NA	NA	NA	
MEL290	NA	NA	NA	NA	NA	NA	NA	
MERO14	NA	NA	NA	NA	NA	NA	NA	
MERO82	NA	NA	NA	NA	NA	NA	NA	
MM127	NA	NA	NA	NA	NA	NA	NA	
MM370	NA	NA	NA	NA	NA	NA	NA	
MM383	NA	NA	NA	NA	NA	NA	NA	
MM386	NA	NA	NA	NA	NA	NA	NA	
MM426	NA	NA	NA	NA	NA	NA	NA	
MUGCHOR1	NA	NA	NA	NA	NA	NA	NA	
MYLA	NA	NA	NA	NA	NA	NA	NA	
NB1643	NA	NA	NA	NA	NA	NA	NA	
NGP	NA	NA	NA	NA	NA	NA	NA	
NOZ	NA	NA	NA	NA	NA	NA	NA	
NP2	NA	NA	NA	NA	NA	NA	NA	
NP3	NA	NA	NA	NA	NA	NA	NA	
NP5	NA	NA	NA	NA	NA	NA	NA	
NP8	NA	NA	NA	NA	NA	NA	NA	
OACM51	1372	NA	NA	NA	NA	NA	NA	OACM5-1
OCIC5X	NA	NA	NA	NA	NA	NA	NA	
OCIM2	NA	NA	NA	1827	NA	NA	NA	
OCUG1	NA	NA	NA	NA	NA	NA	NA	
ONDA7	NA	NA	NA	NA	NA	NA	NA	
ONDA8	NA	NA	NA	NA	NA	NA	NA	
ONDA9	NA	NA	NA	NA	NA	NA	NA	
OS252	NA	NA	NA	NA	NA	NA	NA	
PA1	NA	NA	NA	1250	NA	NA	NA	
PACADD119	NA	NA	NA	NA	NA	NA	NA	
PACADD137	NA	NA	NA	NA	NA	NA	NA	
PACADD161	NA	NA	NA	NA	NA	NA	NA	
PACADD165	NA	NA	NA	NA	NA	NA	NA	
PACADD188	NA	NA	NA	NA	NA	NA	NA	
PEA1	NA	NA	NA	NA	NA	NA	NA	
R262	NA	NA	NA	NA	NA	NA	NA	
RBE	NA	NA	NA	NA	NA	NA	NA	
RH18DM	NA	NA	NA	NA	NA	NA	NA	
RH28	NA	1599	1599	NA	NA	NA	NA	
RH4	NA	NA	1822	NA	NA	NA	NA	
RHJT	NA	NA	NA	NA	NA	NA	NA	
SCCOHT1	NA	NA	NA	NA	NA	NA	NA	
SCMCRM2	NA	NA	NA	NA	NA	NA	NA	
SCS214	NA	NA	NA	NA	NA	NA	NA	
SEKI	NA	NA	NA	NA	NA	NA	NA	
SEMK2	NA	NA	NA	NA	NA	NA	NA	
SG231	NA	NA	NA	NA	NA	NA	NA	
SHI1	NA	NA	NA	NA	NA	NA	NA	
SISO	1305	NA	NA	NA	NA	NA	NA	
SKGI	NA	NA	NA	NA	NA	NA	NA	
SKGII	NA	NA	NA	NA	NA	NA	NA	
SKGT2	1386	NA	NA	NA	NA	NA	NA	SK-GT-2
