	igdsc	imda	igenSarcoma	incats	igensclc	itncats	iccle	curation
SKGT4	1410	NA	NA	NA	NA	NA	NA	SK-GT-4
SKMEL19	NA	NA	NA	NA	NA	NA	NA	
SKN	1353	NA	NA	NA	NA	NA	NA	
SMSCTR	NA	1715	1715	1715	NA	NA	NA	
SMZ1	NA	NA	NA	NA	NA	NA	NA	
SNU1544	NA	NA	NA	NA	NA	NA	NA	
SNU638	NA	NA	NA	NA	NA	NA	NA	
SSP25	NA	NA	NA	NA	NA	NA	NA	
SUM149PT	NA	NA	NA	NA	NA	NA	NA	
SUM159PT	NA	NA	NA	NA	NA	NA	NA	
SUM229PE	NA	NA	NA	NA	NA	NA	NA	
SUM52PE	NA	NA	NA	NA	NA	NA	NA	
SW756	1387	NA	NA	NA	NA	NA	NA	
SW982	1281	1281	NA	NA	NA	NA	NA	
SYO1	NA	NA	1819	NA	NA	NA	NA	SYO-1
TC106	NA	1695	NA	NA	NA	NA	NA	
TC138	NA	NA	NA	NA	NA	NA	NA	
TC205	NA	NA	NA	NA	NA	NA	NA	
TFK1	NA	NA	NA	NA	NA	NA	NA	
TO14	NA	NA	NA	NA	NA	NA	NA	
TTC442	NA	1712	NA	NA	NA	NA	NA	
U2904	NA	NA	NA	NA	NA	NA	NA	
UACC62SKINCJ1	NA	NA	NA	NA	NA	NA	NA	
UCH2	NA	NA	NA	NA	NA	NA	NA	
UHO1	NA	NA	NA	NA	NA	NA	NA	
UMCHOR1	NA	NA	NA	NA	NA	NA	NA	
UMUC10	NA	NA	NA	NA	NA	NA	NA	
UMUC11	NA	NA	NA	NA	NA	NA	NA	
UMUC13	NA	1607	NA	NA	NA	NA	NA	
UMUC14	NA	NA	NA	NA	NA	NA	NA	
UMUC16	NA	NA	NA	NA	NA	NA	NA	
UMUC5	NA	NA	NA	NA	NA	NA	NA	
UMUC6	NA	NA	NA	NA	NA	NA	NA	
UMUC7	NA	NA	NA	NA	NA	NA	NA	
UMUC9	NA	1609	NA	NA	NA	NA	NA	
UPCISCC152	NA	NA	NA	NA	NA	NA	NA	
UW228	NA	NA	NA	NA	NA	NA	NA	
UWB1289	1382	NA	NA	NA	NA	NA	NA	UWB1.289
Y79	NA	NA	NA	NA	NA	NA	NA	
YAMATO	NA	NA	NA	NA	NA	NA	NA	
YSCCC	NA	NA	NA	NA	NA	NA	NA	
