SEED	BEST_MATCH_SCORE	MATCH_1	MATCH_2	MATCH_3
JURKAT	0	Jurkat	JHU-013	JHU-019
NCI-H1734	0.0222222222222223	NCI-H1437	NCI-H735	NCI-H1184
NCI-H2170	0.0222222222222223	NCI-H2107	NCI-H2171	NCI-H2081
NCI-H196	0.0222222222222223	NCI-H1926	NCI-H719	NCI-H1618
NCI-H211	0.0222222222222223	NCI-H2171	NCI-H1184	NCI-H1618
NCI-H522	0.0222222222222223	NCI-H1522	NCI-H220	NCI-H128
NCI-H28	0.025	NCI-H128	NCI-H2081	NCI-H820
NCI-H82	0.025	NCI-H820	NCI-H128	NCI-H2081
DMS-53	0.0285714285714286	DMS-153	OUMS-23	IOSE-523(-)
NCI-H2196	0.0333333333333333	NCI-H1926	NCI-H719	NCI-H1618
Ishikawa_Heraklio_02ER-	0.0347826086956522	Ishikawa(Heraklio)02ER-	Takigawa	Set2
IOSE-364-	0.0363636363636363	IOSE-364(-)	IOSE-523(-)	KYSE-30
IOSE-523-	0.0363636363636363	IOSE-523(-)	IOSE-364(-)	OUMS-23
NCI-H1792	0.0444444444444445	NCI-H1926	NCI-H719	NCI-H128
NCI-H1355	0.0444444444444445	NCI-H1385	NCI-H735	NCI-H1437
NCI-H1395	0.0444444444444445	NCI-H1385	NCI-H719	NCI-H735
NCI-H1963	0.0444444444444445	NCI-H1926	NCI-H719	NCI-H1385
NCI-H1092	0.0444444444444445	NCI-H1926	NCI-H128	NCI-H2081
NCI-H1651	0.0444444444444445	NCI-H1618	NCI-H865	NCI-H1184
NCI-H1648	0.0444444444444445	NCI-H1618	NCI-H1184	NCI-H128
NCI-H1688	0.0444444444444445	NCI-H1618	NCI-H128	NCI-H1184
NCI-H1568	0.0444444444444445	NCI-H1618	NCI-H865	NCI-H128
NCI-H1944	0.0444444444444445	NCI-H1404	NCI-H719	NCI-H1184
NCI-H1781	0.0444444444444445	NCI-H2171	NCI-H1184	NCI-H128
NCI-H3122	0.0444444444444445	NCI-H1522	NCI-H128	NCI-H220
NCI-H2135	0.0444444444444445	NCI-H1385	NCI-H735	NCI-H1522
NCI-H2085	0.0444444444444445	NCI-H2081	NCI-H508	NCI-H820
NCI-H2141	0.0444444444444445	NCI-H2171	NCI-H1184	NCI-H1404
NCI-H2172	0.0444444444444445	NCI-H2107	NCI-H2171	NCI-H1522
NCI-H2110	0.0444444444444445	NCI-H2107	NCI-H2171	NCI-H2081
NCI-H1435	0.0444444444444445	NCI-H1385	NCI-H1437	NCI-H735
NCI-H1417	0.0444444444444445	NCI-H1437	NCI-H1184	NCI-H2171
NCI-H1436	0.0444444444444445	NCI-H1437	NCI-H460	NCI-H1184
NCI-H2087	0.0444444444444445	NCI-H2081	NCI-H2107	NCI-H820
NCI-H441	0.0472222222222222	NCI-H1404	NCI-H1184	NCI-H1437
NCI-H2052	0.0472222222222222	NCI-H220	NCI-H1522	NCI-H820
NCI-H358	0.0472222222222222	NCI-H1385	NCI-H508	NCI-H735
NCI-H1793	0.0472222222222222	NCI-H719	NCI-H1437	NCI-H735
NCI-H2029	0.0472222222222222	NCI-H220	NCI-H820	NCI-H1522
NCI-H2023	0.0472222222222222	NCI-H220	NCI-H820	NCI-H1522
NCI-H835	0.0472222222222222	NCI-H1385	NCI-H735	NCI-H865
NCI-H146	0.05	NCI-H460	NCI-H1184	NCI-H1404
NCI-H187	0.05	NCI-H128	NCI-H1184	NCI-H1385
NCI-H810	0.05	NCI-H820	NCI-H2081	NCI-H1404
NCI-H740	0.05	NCI-H460	NCI-H1404	NCI-H1437
NCI-H650	0.05	NCI-H460	NCI-H508	NCI-H865
NCI-H209	0.05	NCI-H220	NCI-H820	NCI-H2081
NCI-H520	0.05	NCI-H220	NCI-H508	NCI-H820
NCI-H630	0.05	NCI-H460	NCI-H220	NCI-H508
NCI-H250	0.05	NCI-H220	NCI-H508	NCI-H820
NCI-H660	0.05	NCI-H460	NCI-H220	NCI-H508
KASUMI-1	0.05	Kasumi-3	Calu-1	KMH-2
NCI-H292	0.05	NCI-H220	NCI-H1522	NCI-H1926
NCI-H446	0.05	NCI-H460	NCI-H1404	NCI-H865
NCI-H720	0.05	NCI-H220	NCI-H820	NCI-H2107
VMRC-RCZ	0.05	VMRC-RCW	VMRC-MELG	MC-IXC
NCI-H345	0.05	NCI-H735	NCI-H1385	NCI-H1437
NCI-H226	0.05	NCI-H220	NCI-H1522	NCI-H1926
NCI-H716	0.05	NCI-H719	NCI-H1618	NCI-H1926
KM-H2	0.0533333333333334	KMH-2	MKL-2	MY-M12
NCI-H64	0.0535714285714286	NCI-H460	NCI-H865	NCI-H1184
OVCAR-8	0.0571428571428571	OVCAR-2	OVCAR-10	OVCA432
OVCAR-5	0.0571428571428571	OVCAR-2	OVCAR-10	OVCA432
KYSE-70	0.0571428571428571	KYSE-30	BL-70	OSA-80
CRO-AP2	0.0571428571428571	CRO-AP3	Caov-2	Caov-3
JHU-011	0.0571428571428571	JHU-013	JHU-019	U-CH1
KYSE-50	0.0571428571428571	KYSE-30	IOSE-523(-)	OSA-80
OVCAR-4	0.0571428571428571	OVCAR-2	OVCAR-10	OVCA432
OVCAR-3	0.0571428571428571	OVCAR-2	OVCAR-10	OVCA432
OVCA420	0.0571428571428571	OVCA432	OVCA433	OVCAR-2
JHU-029	0.0571428571428571	JHU-019	JHU-013	KMH-2
KP-N-YN	0.0571428571428571	KP-N-YS	KP-N-RT-BM-1	KG-1-C
CP66-MEL	0.0583333333333334	CP67-MEL	VMRC-MELG	BC-2
NCI-H1573	0.0597222222222223	NCI-H735	NCI-H1385	NCI-H1437
NCI-H841	0.0597222222222223	NCI-H1184	NCI-H2081	NCI-H128
NCI-H1975	0.0597222222222223	NCI-H719	NCI-H735	NCI-H1385
ML-2	0.0600000000000001	MKL-2	KMH-2	MY-M12
Calu-6	0.0666666666666666	Calu-1	Caov-2	Caov-3
Caov-4	0.0666666666666666	Caov-2	Caov-3	Calu-1
