CELL LINE	id	 correct_index	comments
A-204	139	139	
A-673	171	171	
A549/ATCC	1504	36	to correct in nciSclc/ remove 1504
ASPS-1	NA	NA	
CHA-59	NA	NA	
CHLA-10	NA	1712	
CHLA-25	NA	NA	
CHLA-258	NA	1698	
CHLA-32	NA	NA	
CHLA-9	NA	1704	
CHP-100	NA	NA	
COG-E-352	NA	NA	
DDLS	NA	NA	
ES-1	NA	1117	
ES-2	568	568	
ES-3	NA	1118	
ES-4	NA	1347	
ES-6	NA	1120	
ES-7	NA	1121	
ES-8	NA	1122	
EW8	569	569	
G-401	198	198	
hMSC	NA	NA	
HOS	65	65	
Hs 132.T	NA	NA	
Hs 706.T	656	656	
Hs 729	657	657	
Hs 913.T	NA	NA	
HSSY-II	NA	NA	
HT-1080	77	77	
Hu09	NA	1158	HuO9/HuO9 synonyms
JJ012	NA	NA	
KHOS NP	NA	NA	
KHOS-240S	NA	1726	
KHOS-312H	NA	1725	
LS141	NA	NA	
MES-SA	187	187	
MES-SA Dx5	NA	NA	
MHM-25	NA	NA	
MHM-8	NA	NA	
MPNST	NA	NA	
NHAC-kn	NA	NA	
NHDF	NA	NA	
NHOst	NA	NA	
OHS	NA	NA	
RD	403	403	
RD-ES	893	893	
Rh18	NA	470	
Rh28	NA	1600	
Rh28 PX11/LPAM	NA	NA	
Rh30	NA	902	
Rh36	NA	NA	
Rh41	NA	903	
SAOS-2	NA	200	
SJCRH30(RMS 13)	NA	183	
SJSA-1	125	125	
SK-ES-1	922	922	
SK-LMS-1	292	292	
SK-N-MC	926	926	
SK-UT-1	92	92	
SK-UT-1B	NA	1719	
SkMC	NA	NA	
ST8814	NA	NA	
SW 1353	1000	1000	
SW 684	NA	1277	
SW 982	NA	1281	
SYO-1	NA	NA	
TC-32	1006	1006	
TC-71	1007	1007	
U-2 OS	193	193	
VA-ES-BJ	1292	1292	
