nci60	ccle	cgp	gdsc	gdscDec15	ctrp	nciSclc	mdaMills	almanac	utsw	sarcoma	genSclc	nob	gbSarcoma	cshl	lantern	lantnci	ncats	uniSarcoma	genSarcoma	tncats	achilles	ukhyun	ancats	acc	prism	cellosaurus_accession	cellosaurus_identifier
BR:MCF7	MCF7	MCF7	MCF7	MCF7	MCF7	NA	MCF7	BR:MCF7	NA	NA	NA	NA	NA	NA	BR:MCF7	BR:MCF7	MCF7	NA	NA	NA	MCF7	NA	NA	NA	MCF7	CVCL_0031	MCF-7
BR:MDA-MB-231	MDA-MB-231	MDA-MB-231	MDA-MB-231	MDA-MB-231	MDA-MB-231	NA	MDAMB231	BR:MDA-MB-231	NA	NA	NA	NA	NA	NA	BR:MDA-MB-231	BR:MDA-MB-231	MDAMB231	NA	NA	NA	MDAMB231	NA	NA	NA	MDAMB231	CVCL_0062	MDA-MB-231
BR:HS 578T	Hs 578T	Hs-578-T	Hs-578-T	Hs-578-T	Hs 578T	NA	HS578T	BR:HS 578T	NA	NA	NA	NA	NA	NA	BR:HS 578T	BR:HS 578T	HS578T	NA	NA	NA	HS578T	NA	NA	NA	NA	CVCL_0332	Hs 578T
BR:BT-549	BT-549	BT-549	BT-549	BT-549	BT-549	NA	BT549	BR:BT-549	NA	NA	NA	NA	NA	NA	BR:BT-549	BR:BT-549	BT549	NA	NA	NA	BT549	NA	NA	NA	BT549	CVCL_1092	BT-549
BR:T-47D	T-47D	T47D	T47D	T47D	T-47D	NA	T47D	BR:T-47D	NA	NA	NA	NA	NA	NA	BR:T-47D	BR:T-47D	T47D	NA	NA	NA	NA	NA	NA	NA	T47D	CVCL_0553	T-47D
CNS:SF-268	SF268	SF268	SF268	SF268	NA	NA	SF268	CNS:SF-268	NA	NA	NA	NA	NA	NA	CNS:SF-268	CNS:SF-268	NA	NA	NA	NA	SF268	NA	NA	NA	NA	CVCL_1689	SF268
CNS:SF-295	SF-295	SF295	SF295	SF295	SF-295	NA	SF295	CNS:SF-295	NA	NA	NA	NA	NA	NA	CNS:SF-295	CNS:SF-295	NA	NA	NA	NA	SF295	NA	NA	NA	SF295	CVCL_1690	SF295
CNS:SF-539	SF539	SF539	SF539	SF539	NA	NA	SF539	CNS:SF-539	NA	NA	NA	NA	NA	NA	CNS:SF-539	CNS:SF-539	NA	NA	NA	NA	SF539	NA	NA	NA	SF539	CVCL_1691	SF539
CNS:SNB-19	SNB-19	SNB19	NA	NA	NA	NA	NA	CNS:SNB-19	NA	NA	NA	NA	NA	NA	CNS:SNB-19	CNS:SNB-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0535	SNB-19
CNS:SNB-75	SNB75	NA	SNB75	SNB75	NA	NA	SNB75	CNS:SNB-75	NA	NA	NA	NA	NA	NA	CNS:SNB-75	CNS:SNB-75	NA	NA	NA	NA	SNB75	NA	NA	NA	SNB75	CVCL_1706	SNB-75
CNS:U251	U-251 MG	U251	U251	U251	U-251 MG	NA	U251	CNS:U251	NA	NA	NA	U251	NA	NA	CNS:U251	CNS:U251	NA	NA	NA	NA	U251MG	NA	NA	NA	U251MG	CVCL_0021	U-251MG
CO:COLO 205	COLO 205	COLO-205	COLO-205	COLO-205	COLO 205	NA	COLO205	CO:COLO 205	NA	NA	NA	NA	NA	NA	CO:COLO 205	CO:COLO 205	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0218	COLO 205
CO:HCC-2998	NA	HCC2998	HCC2998	HCC2998	NA	NA	HCC2998	CO:HCC-2998	NA	NA	NA	NA	NA	NA	CO:HCC-2998	CO:HCC-2998	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1266	HCC2998
CO:HCT-116	HCT 116	HCT-116	HCT-116	HCT-116	HCT 116	NA	HCT116	CO:HCT-116	NA	NA	NA	NA	NA	NA	CO:HCT-116	CO:HCT-116	NA	NA	NA	HCT 116	NA	HCT-116	HCT 116	NA	HCT116	CVCL_0291	HCT 116
CO:HCT-15	HCT-15	HCT-15	HCT-15	HCT-15	HCT-15	NA	HCT15	CO:HCT-15	NA	NA	NA	NA	NA	NA	CO:HCT-15	CO:HCT-15	HCT15	NA	NA	NA	NA	NA	NA	NA	HCT15	CVCL_0292	HCT 15
CO:HT29	HT-29	HT-29	HT-29	HT-29	HT-29	NA	HT29	CO:HT29	NA	NA	NA	NA	NA	NA	CO:HT29	CO:HT29	NA	NA	NA	NA	HT29	NA	NA	NA	HT29	CVCL_0320	HT-29
CO:KM12	KM12	KM12	KM12	KM12	KM12	NA	KM12	CO:KM12	NA	NA	NA	NA	NA	NA	CO:KM12	CO:KM12	NA	NA	NA	NA	KM12	NA	NA	NA	NA	CVCL_1331	KM12
CO:SW-620	SW620	SW620	SW620	SW620	SW620	NA	SW620	CO:SW-620	NA	NA	NA	NA	NA	NA	CO:SW-620	CO:SW-620	NA	NA	NA	SW620	SW620	NA	SW620	NA	SW620	CVCL_0547	SW620
LE:CCRF-CEM	NA	CCRF-CEM	CCRF-CEM	CCRF-CEM	NA	NA	CCRFCEM	LE:CCRF-CEM	NA	NA	NA	NA	NA	NA	LE:CCRF-CEM	LE:CCRF-CEM	CCRFCEM	NA	NA	CCRF-CEM	NA	CCRF-CEM	CCRF-CEM	NA	NA	CVCL_0207	CCRF-CEM
LE:HL-60(TB)	HL-60	HL-60	HL-60	HL-60	HL-60	NA	HL60	LE:HL-60(TB)	NA	NA	NA	NA	NA	NA	LE:HL-60(TB)	LE:HL-60(TB)	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0002	HL-60
LE:K-562	K-562	NA	K-562	K-562	K-562	NA	K562	LE:K-562	NA	NA	NA	NA	NA	NA	LE:K-562	LE:K-562	K562	NA	NA	NA	K562	K-562	NA	NA	NA	CVCL_0004	K-562
LE:MOLT-4	MOLT-4	MOLT-4	MOLT-4	MOLT-4	NA	NA	MOLT4	LE:MOLT-4	NA	NA	NA	NA	NA	NA	LE:MOLT-4	LE:MOLT-4	NA	NA	NA	NA	NA	MOLT-4	NA	NA	NA	CVCL_0013	MOLT-4
LE:RPMI-8226	RPMI 8226	RPMI-8226	RPMI-8226	RPMI-8226	RPMI 8226	NA	RPMI8226	LE:RPMI-8226	NA	NA	NA	NA	NA	NA	LE:RPMI-8226	LE:RPMI-8226	RPMI8226	NA	NA	RPMI-8226	RPMI8226	NA	RPMI-8226	NA	NA	CVCL_0014	RPMI-8226
LE:SR	NA	SR	SR	SR	NA	NA	SR	LE:SR	NA	NA	NA	NA	NA	NA	LE:SR	LE:SR	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1711	SR
NA	SR-786	NA	NA	NA	SR-786	NA	SR786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1711	SR
ME:LOX IMVI	LOX IMVI	LOXIMVI	LOXIMVI	LOXIMVI	LOX IMVI	NA	NA	ME:LOX IMVI	NA	NA	NA	NA	NA	NA	ME:LOX IMVI	ME:LOX IMVI	NA	NA	NA	NA	NA	NA	NA	NA	LOXIMVI	CVCL_1381	LOX-IMVI
ME:MALME-3M	Malme-3M	Malme-3M	NA	NA	Malme-3M	NA	MALME3M	ME:MALME-3M	NA	NA	NA	NA	NA	NA	ME:MALME-3M	ME:MALME-3M	NA	NA	NA	NA	MALME3M	NA	NA	NA	MALME3M	CVCL_1438	Malme-3M
ME:M14	NA	M14	M14	M14	NA	NA	M14	ME:M14	NA	NA	NA	NA	NA	NA	ME:M14	ME:M14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME:SK-MEL-2	SK-MEL-2	SK-MEL-2	SK-MEL-2	SK-MEL-2	SK-MEL-2	NA	SKMEL2	ME:SK-MEL-2	NA	NA	NA	NA	NA	NA	ME:SK-MEL-2	ME:SK-MEL-2	NA	NA	NA	NA	SKMEL2	NA	NA	NA	SKMEL2	CVCL_0069	SK-MEL-2
ME:SK-MEL-28	SK-MEL-28	SK-MEL-28	SK-MEL-28	SK-MEL-28	SK-MEL-28	NA	SKMEL28	ME:SK-MEL-28	NA	NA	NA	NA	NA	NA	ME:SK-MEL-28	ME:SK-MEL-28	SKMEL28	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0526	SK-MEL-28
ME:SK-MEL-5	SK-MEL-5	SK-MEL-5	SK-MEL-5	SK-MEL-5	SK-MEL-5	NA	SKMEL5	ME:SK-MEL-5	NA	NA	NA	NA	NA	NA	ME:SK-MEL-5	ME:SK-MEL-5	NA	NA	NA	NA	NA	NA	NA	NA	SKMEL5	CVCL_0527	SK-MEL-5
ME:UACC-257	UACC-257	UACC-257	UACC-257	UACC-257	UACC-257	NA	UACC257	ME:UACC-257	NA	NA	NA	NA	NA	NA	ME:UACC-257	ME:UACC-257	NA	NA	NA	NA	UACC257	NA	NA	NA	UACC257	CVCL_1779	UACC-257
ME:UACC-62	UACC-62	UACC-62	UACC-62	UACC-62	UACC-62	NA	UACC62	ME:UACC-62	NA	NA	NA	NA	NA	NA	ME:UACC-62	ME:UACC-62	NA	NA	NA	NA	UACC62	NA	NA	NA	UACC62	CVCL_1780	UACC-62
ME:MDA-MB-435	MDA-MB-435S	MDA-MB-435	NA	NA	MDA-MB-435S	NA	NA	ME:MDA-MB-435	NA	NA	NA	NA	NA	NA	ME:MDA-MB-435	ME:MDA-MB-435	NA	NA	NA	NA	MDAMB435S	NA	NA	NA	MDAMB435S	CVCL_0622	MDA-MB-435S
ME:MDA-N	NA	NA	NA	NA	NA	NA	NA	ME:MDA-N	NA	NA	NA	NA	NA	NA	ME:MDA-N	ME:MDA-N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC:A549/ATCC	A549	A549	A549	A549	A549	A549/ATCC	A549	LC:A549/ATCC	NA	A549/ATCC	NA	NA	NA	NA	LC:A549/ATCC	LC:A549/ATCC	A549	A549/ATCC	NA	A-549	A549	A549	A-549	NA	A549	CVCL_0023	A-549
LC:EKVX	EKVX	EKVX	EKVX	EKVX	NA	NA	EKVX	LC:EKVX	NA	NA	NA	NA	NA	NA	LC:EKVX	LC:EKVX	NA	NA	NA	NA	EKVX	NA	NA	NA	NA	CVCL_1195	EKVX
LC:HOP-62	HOP62	HOP-62	HOP-62	HOP-62	NA	NA	HOP62	LC:HOP-62	NA	NA	NA	NA	NA	NA	LC:HOP-62	LC:HOP-62	NA	NA	NA	NA	HOP62	NA	NA	NA	NA	CVCL_1285	HOP-62
LC:HOP-92	HOP92	HOP-92	HOP-92	HOP-92	NA	NA	HOP92	LC:HOP-92	NA	NA	NA	NA	NA	NA	LC:HOP-92	LC:HOP-92	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1286	HOP-92
LC:NCI-H226	NCI-H226	NCI-H226	NCI-H226	NCI-H226	NCI-H226	NA	H226	LC:NCI-H226	NA	NA	NA	NA	NA	NA	LC:NCI-H226	LC:NCI-H226	NCIH226	NA	NA	NA	NA	NA	NA	NA	NCIH226	CVCL_1544	NCI-H226
LC:NCI-H23	NCI-H23	NCI-H23	NCI-H23	NCI-H23	NCI-H23	NA	H23	LC:NCI-H23	NA	NA	NA	NA	NA	NA	LC:NCI-H23	LC:NCI-H23	NCIH23	NA	NA	NA	NCIH23	NA	NA	NA	NCIH23	CVCL_1547	NCI-H23
LC:NCI-H322M	NCI-H322	NA	NCI-H322M	NCI-H322M	NCI-H322	NA	H322M	LC:NCI-H322M	NA	NA	NA	NA	NA	NA	LC:NCI-H322M	LC:NCI-H322M	NCIH322M	NA	NA	NA	NCIH322	NA	NA	NA	NCIH322	CVCL_1556	NCI-H322
LC:NCI-H460	NCI-H460	NCI-H460	NA	NCI-H460	NCI-H460	NA	H460	LC:NCI-H460	NA	NA	NA	NA	NA	NA	LC:NCI-H460	LC:NCI-H460	NCIH460	NA	NA	NA	NCIH460	NA	NA	NA	NCIH460	CVCL_0459	NCI-H460
LC:NCI-H522	NCI-H522	NCI-H522	NCI-H522	NCI-H522	NCI-H522	NA	H522	LC:NCI-H522	NA	NA	NA	NA	NA	NA	LC:NCI-H522	LC:NCI-H522	NCIH522	NA	NA	NA	NCIH522	NA	NA	NA	NCIH522	CVCL_1567	NCI-H522
OV:IGROV1	IGROV1	IGROV-1	IGROV-1	IGROV-1	IGROV1	NA	IGROV1	OV:IGROV1	NA	NA	NA	NA	NA	NA	OV:IGROV1	OV:IGROV1	NA	NA	NA	NA	NA	NA	NA	NA	IGROV1	CVCL_1304	IGROV-1
OV:OVCAR-3	NIH:OVCAR-3	OVCAR-3	OVCAR-3	OVCAR-3	NA	NA	OVCAR3	OV:OVCAR-3	NA	NA	NA	NA	NA	NA	OV:OVCAR-3	OV:OVCAR-3	NIHOVCAR3	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0465	OVCAR-3
OV:OVCAR-4	OVCAR-4	OVCAR-4	OVCAR-4	OVCAR-4	OVCAR-4	NA	OVCAR4	OV:OVCAR-4	NA	NA	NA	NA	NA	NA	OV:OVCAR-4	OV:OVCAR-4	OVCAR4	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1627	OVCAR-4
OV:OVCAR-5	OVCAR-5	OVCAR-5	OVCAR-5	OVCAR-5	NA	NA	OVCAR5	OV:OVCAR-5	NA	NA	NA	NA	NA	NA	OV:OVCAR-5	OV:OVCAR-5	NA	NA	NA	NA	OVCAR5	NA	NA	NA	NA	CVCL_1628	OVCAR-5
OV:OVCAR-8	OVCAR-8	OVCAR-8	OVCAR-8	OVCAR-8	OVCAR-8	NA	OVCAR8	OV:OVCAR-8	NA	NA	NA	NA	NA	NA	OV:OVCAR-8	OV:OVCAR-8	OVCAR8	NA	NA	OVCAR-8	OVCAR8	NA	OVCAR-8	NA	OVCAR8	CVCL_1629	OVCAR-8
OV:SK-OV-3	SK-OV-3	SK-OV-3	SK-OV-3	SK-OV-3	SK-OV-3	NA	SKOV3	OV:SK-OV-3	NA	NA	NA	NA	NA	NA	OV:SK-OV-3	OV:SK-OV-3	NA	NA	NA	SK-OV-3	SKOV3	SK-OV-3	SK-OV-3	NA	SKOV3	CVCL_0532	SK-OV-3
OV:NCI/ADR-RES	NA	NA	NA	NA	NA	NA	NA	OV:NCI/ADR-RES	NA	NA	NA	NA	NA	NA	OV:NCI/ADR-RES	OV:NCI/ADR-RES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PR:PC-3	PC-3	PC-3	PC-3	PC-3	PC-3	NA	PC3	PR:PC-3	NA	NA	NA	NA	NA	NA	PR:PC-3	PR:PC-3	NA	NA	NA	NA	NA	NA	NA	NA	PC3	NA	NA
PR:DU-145	DU 145	DU-145	DU-145	DU-145	DU 145	NA	DU145	PR:DU-145	NA	NA	NA	NA	NA	NA	PR:DU-145	PR:DU-145	NA	NA	NA	DU145	NA	DU-145	DU145	NA	DU145	CVCL_0105	DU145
RE:786-0	786-O	786-0	786-o	786-0	786-O	NA	786O	RE:786-0	NA	NA	NA	NA	NA	NA	RE:786-0	RE:786-0	786O	NA	NA	NA	786O	NA	NA	NA	786O	CVCL_1051	786-O
RE:A498	A-498	A498	A498	A498	A-498	NA	A498	RE:A498	NA	NA	NA	NA	NA	NA	RE:A498	RE:A498	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1056	A-498
RE:ACHN	ACHN	ACHN	ACHN	ACHN	ACHN	NA	ACHN	RE:ACHN	NA	NA	NA	NA	NA	NA	RE:ACHN	RE:ACHN	ACHN	NA	NA	NA	NA	NA	NA	NA	ACHN	CVCL_1067	ACHN
RE:CAKI-1	Caki-1	CAKI-1	CAKI-1	CAKI-1	Caki-1	NA	CAKI1	RE:CAKI-1	NA	NA	NA	NA	NA	NA	RE:CAKI-1	RE:CAKI-1	NA	NA	NA	NA	CAKI1	NA	NA	NA	CAKI1	CVCL_0234	Caki-1
RE:RXF 393	NA	RXF393	RXF393	RXF393	NA	NA	RXF393	RE:RXF 393	NA	NA	NA	NA	NA	NA	RE:RXF 393	RE:RXF 393	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1673	RXF 393L
RE:SN12C	NA	SN12C	SN12C	SN12C	NA	NA	SN12C	RE:SN12C	NA	NA	NA	NA	NA	NA	RE:SN12C	RE:SN12C	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1705	SN12C
RE:TK-10	TK10	TK10	TK10	TK10	NA	NA	TK10	RE:TK-10	NA	NA	NA	NA	NA	NA	RE:TK-10	RE:TK-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1773	TK-10
RE:UO-31	UO31	U031	U031	U031	NA	NA	UO31	RE:UO-31	NA	NA	NA	NA	NA	NA	RE:UO-31	RE:UO-31	NA	NA	NA	NA	NA	NA	NA	NA	UO31	CVCL_1911	UO-31
NA	COLO 668	COLO-668	COLO-668	COLO-668	COLO 668	COLO 668	NA	NA	NA	NA	COLO-668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COLO668	CVCL_1128	COLO 668
NA	SW1116	SW1116	SW1116	SW1116	SW1116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW1116	NA	NA	SW1116	NA	NA	CVCL_0544	SW1116
NA	UM-UC-3	UM-UC-3	UM-UC-3	UM-UC-3	UM-UC-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UMUC3	NA	NA	UM-UC-3	UMUC3	NA	UM-UC-3	NA	NA	CVCL_1783	UM-UC-3
NA	HOS	HOS	HOS	HOS	HOS	NA	HOS	NA	NA	HOS	NA	NA	HOS	NA	NA	NA	NA	HOS	HOS	NA	NA	NA	NA	NA	HOS	CVCL_0312	HOS
NA	RVH-421	RVH-421	RVH-421	RVH-421	RVH-421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RVH421	NA	NA	NA	RVH421	CVCL_1672	RVH-421
NA	HCC2157	HCC2157	HCC2157	HCC2157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1261	HCC2157
NA	COR-L24	NA	NA	NA	NA	NA	NA	NA	NA	NA	COR-L24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2409	COR-L24
NA	SNU-449	SNU-449	SNU-449	SNU-449	SNU-449	NA	SNU449	NA	NA	NA	NA	NA	NA	NA	SNU-449	NA	NA	NA	NA	NA	SNU449	NA	NA	NA	SNU449	CVCL_0454	SNU-449
NA	NCI-H28	NCI-H28	NCI-H28	NCI-H28	NCI-H28	NCI-H28	H28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCIH28	NA	NA	NA	NCIH28	CVCL_1555	NCI-H28
NA	KYSE-450	KYSE-450	KYSE-450	KYSE-450	KYSE-450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KYSE450	NA	NA	NA	NA	CVCL_1353	KYSE-450
NA	P31/FUJ	P31-FUJ	P31-FUJ	P31-FUJ	P31/FUJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	P31FUJ	NA	NA	NA	NA	CVCL_1632	P31/FUJ
NA	SF126	SF126	SF126	SF126	SF126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SF126	CVCL_1688	SF126
NA	SNG-M	SNG-M	SNG-M	SNG-M	SNG-M	NA	SNGM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SNGM	NA	NA	NA	SNGM	CVCL_1707	SNG-M
NA	NCI-H2347	NCI-H2347	NCI-H2347	NCI-H2347	NA	NA	H2347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCIH2347	CVCL_1550	NCI-H2347
NA	SW 1990	SW1990	SW1990	SW1990	SW 1990	NA	SW1990	NA	NA	NA	NA	NA	NA	NA	SW 1990	NA	SW1990	NA	NA	NA	NA	NA	NA	NA	SW1990	CVCL_1723	SW1990
NA	HT-1080	HT-1080	HT-1080	HT-1080	HT-1080	NA	HT1080	NA	NA	HT-1080	NA	NA	HT1080	NA	NA	NA	HT1080	HT-1080	HT-1080	HT-1080	HT1080	NA	HT-1080	NA	HT1080	CVCL_0317	HT-1080
NA	NCI-H2087	NCI-H2087	NCI-H2087	NCI-H2087	NCI-H2087	NA	H2087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCIH2087	NA	NA	NA	NCIH2087	CVCL_1524	NCI-H2087
NA	COR-L279	COR-L279	COR-L279	COR-L279	COR-L279	COR-L279	NA	NA	NA	NA	COR-L279	NA	NA	NA	NA	NA	NA	NA	NA	NA	CORL279	NA	NA	NA	NA	CVCL_1140	COR-L279
NA	NCI-H716	NCI-H716	NCI-H716	NCI-H716	NCI-H716	NA	H716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCIH716	NA	NA	NA	NA	CVCL_1581	NCI-H716
NA	COR-L311	NA	COR-L311	COR-L311	NA	NA	NA	NA	NA	NA	COR-L311	NA	NA	NA	NA	NA	NA	NA	NA	NA	CORL311	NA	NA	NA	NA	CVCL_2412	COR-L311
NA	C3A	C3A	C3A	C3A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1098	Hep-G2/C3A
NA	LU65	LU-65	LU-65	LU-65	LU65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LU65	NA	NA	NA	NA	CVCL_1392	Lu-65
NA	MSTO-211H	MSTO-211H	MSTO-211H	MSTO-211H	MSTO-211H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MSTO211H	NA	NA	NA	MSTO211H	CVCL_1430	MSTO-211H
NA	Raji	Raji	Raji	Raji	Raji	NA	RAJI	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAJI	NA	NA	NA	RAJI	NA	NA	NA	NA	CVCL_0511	Raji
NA	SUP-T1	SUP-T1	SUP-T1	SUP-T1	SUP-T1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SUPT1	NA	NA	NA	NA	CVCL_1714	SUP-T1
NA	5637	5637	5637	5637	5637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5637	NA	NA	NA	5637	CVCL_0126	5637
NA	HCC38	HCC38	HCC38	HCC38	HCC38	NA	HCC38	NA	NA	NA	NA	NA	NA	NA	NA	NA	HCC38	NA	NA	NA	HCC38	NA	NA	NA	HCC38	CVCL_1267	HCC38
NA	DU4475	DU-4475	DU-4475	DU-4475	DU4475	NA	DU4475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DU4475	NA	NA	NA	NA	CVCL_1183	DU4475
NA	NCI-H1573	NCI-H1573	NCI-H1573	NCI-H1573	NCI-H1573	NA	H1573	NA	NA	NA	NA	NA	NA	NA	NCI-H1573	NA	NA	NA	NA	NA	NCIH1573	NA	NA	NA	NCIH1573	CVCL_1478	NCI-H1573
NA	NCI-H1651	NCI-H1651	NCI-H1651	NCI-H1651	NCI-H1651	NA	H1651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCIH1651	CVCL_1484	NCI-H1651
NA	SK-UT-1	SK-UT-1	SK-UT-1	SK-UT-1	SK-UT-1	NA	NA	NA	NA	SK-UT-1	NA	NA	SKUT1	NA	NA	NA	NA	SK-UT-1	SK-UT-1	NA	SKUT1	NA	NA	NA	SKUT1	CVCL_0533	SK-UT-1
NA	MDA-MB-175-VII	MDA-MB-175-VII	NA	MDA-MB-175-VII	NA	NA	MDAMB175VII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MDAMB175VII	CVCL_1400	MDA-MB-175-VII
NA	Becker	Becker	Becker	Becker	Becker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BECKER	CVCL_1093	Becker
NA	NCI-H1666	NCI-H1666	NCI-H1666	NCI-H1666	NCI-H1666	NA	H1666	NA	NA	NA	NA	NA	NA	NA	NCI-H1666	NA	NA	NA	NA	NA	NCIH1666	NA	NA	NA	NA	CVCL_1485	NCI-H1666
NA	SW 1783	SW1783	SW1783	SW1783	SW 1783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1722	SW1783
NA	IST-MES1	IST-MES1	IST-MES1	IST-MES1	IST-MES1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ISTMES1	CVCL_1311	IST-Mes1
NA	NCI-H2342	NCI-H2342	NCI-H2342	NCI-H2342	NCI-H2342	NA	H2342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1549	NCI-H2342
NA	T1-73	TI-73	NA	TI-73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T1-73	T1-73	NA	NA	NA	NA	NA	NA	CVCL_3605	T1-73
