nci60	ccle	cgp	gdsc	gdscDec15	ctrp	nciSclc	mdaMills	almanac	utsw	sarcoma	genSclc	nob	gbSarcoma	cshl	lantern	lantnci	ncats	uniSarcoma	genSarcoma	tncats	achilles	ukhyun	ancats	acc	prism	cellosaurus_accession	cellosaurus_identifier
NA	Calu-1	Calu-1	NA	Calu-1	Calu-1	NA	CALU1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CALU1	NA	NA	NA	NA	CVCL_0608	Calu-1
NA	NCI-H2170	NCI-H2170	NCI-H2170	NCI-H2170	NCI-H2170	NA	H2170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCIH2170	NA	NA	NA	NCIH2170	NA	NA	NA	NCIH2170	CVCL_1535	NCI-H2170
NA	AN3 CA	AN3-CA	AN3-CA	AN3-CA	AN3 CA	NA	AN3CA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AN3CA	CVCL_0028	AN3-CA
NA	KYSE-510	KYSE-510	KYSE-510	KYSE-510	KYSE-510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KYSE510	NA	NA	NA	KYSE510	CVCL_1354	KYSE-510
NA	HUP-T4	HuP-T4	HuP-T4	HuP-T4	HUP-T4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HUPT4	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1300	HuP-T4
NA	KYSE-150	KYSE-150	KYSE-150	KYSE-150	KYSE-150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KYSE150	NA	NA	NA	KYSE150	CVCL_1348	KYSE-150
NA	PSN1	PSN1	PSN1	PSN1	PSN1	NA	PSN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PSN1	NA	NA	NA	PSN1	NA	NA	NA	PSN1	CVCL_1644	PSN1
NA	NCI-H1299	NCI-H1299	NCI-H1299	NCI-H1299	NCI-H1299	NA	H1299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCIH1299	NA	NA	NCI-H1299	NCIH1299	NCI-H1299	NCI-H1299	NA	NCIH1299	CVCL_0060	NCI-H1299
NA	SCC-25	SCC-25	SCC-25	SCC-25	SCC-25	NA	SCC25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SCC25	NA	NA	NA	SCC25	CVCL_1682	SCC-25
NA	MHH-NB-11	MHH-NB-11	MHH-NB-11	MHH-NB-11	MHH-NB-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MHHNB11	NA	NA	NA	NA	CVCL_1412	MHH-NB-11
NA	HCC1806	HCC1806	HCC1806	HCC1806	HCC1806	NA	HCC1806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HCC1806	NA	NA	NA	HCC1806	CVCL_1258	HCC1806
NA	MONO-MAC-6	MONO-MAC-6	MONO-MAC-6	MONO-MAC-6	MONO-MAC-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mono-Mac-6	NA	NA	Mono-Mac-6	NA	NA	CVCL_1426	Mono-Mac-6
NA	MKN7	MKN7	MKN7	MKN7	MKN7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MKN7	CVCL_1417	MKN7
NA	SW-1710	SW1710	SW1710	SW1710	SW-1710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW1710	CVCL_1721	SW1710
NA	MOLT-13	MOLT-13	MOLT-13	MOLT-13	MOLT-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1422	MOLT-13
NA	SCC-15	SCC-15	SCC-15	SCC-15	NA	NA	SCC15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1681	SCC-15
NA	NCI-H2126	NCI-H2126	NCI-H2126	NCI-H2126	NCI-H2126	NA	H2126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCIH2126	NA	NA	NA	NCIH2126	CVCL_1532	NCI-H2126
NA	NA	NA	NA	NA	NA	NA	NA	NA	HCC970	NA	HCC970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_A354	HCC970
NA	RD	RD	RD	RD	RD	NA	RD	NA	NA	RD	NA	NA	RD	NA	NA	NA	RD	RD	RD	RD	RD	NA	RD	NA	RD	CVCL_1649	RD
NA	TT	TT	TT	TT	TT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TT	NA	NA
NA	UACC-812	UACC-812	UACC-812	UACC-812	UACC-812	NA	UACC812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1781	UACC-812
NA	CAL-148	CAL-148	CAL-148	CAL-148	CAL-148	NA	CAL148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1106	CAL-148
NA	MDA-MB-134-VI	MDA-MB-134-VI	MDA-MB-134-VI	MDA-MB-134-VI	NA	NA	MDAMB134VI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0617	MDA-MB-134-VI
NA	HCC1599	HCC1599	HCC1599	HCC1599	NA	NA	HCC1599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1256	HCC1599
NA	SK-MM-2	SK-MM-2	SK-MM-2	SK-MM-2	SK-MM-2	NA	SKMM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SKMM2	NA	NA	NA	NA	CVCL_1699	SK-MM-2
NA	COLO-680N	COLO-680N	COLO-680N	COLO-680N	COLO-680N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COLO680N	CVCL_1131	COLO 680N
NA	COLO-678	COLO-678	COLO-678	COLO-678	COLO-678	NA	COLO678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COLO678	NA	NA	NA	NA	CVCL_1129	COLO 678
NA	LAMA-84	LAMA-84	LAMA-84	LAMA-84	LAMA-84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0388	LAMA-84
NA	EHEB	EHEB	EHEB	EHEB	EHEB	NA	EHEB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1194	EHEB
NA	CAL-54	CAL-54	CAL-54	CAL-54	CAL-54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CAL54	CVCL_1111	CAL-54
NA	BV-173	BV-173	BV-173	BV-173	BV-173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0181	BV-173
NA	DOHH-2	DOHH-2	DOHH-2	DOHH-2	DOHH-2	NA	DOHH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DoHH2	NA	NA	DoHH2	NA	NA	CVCL_1179	DoHH2
NA	NALM-6	NALM-6	NALM-6	NALM-6	NALM-6	NA	NALM6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NALM6	NA	NA	NA	NALM6	NA	NA	NA	NA	CVCL_0092	NALM-6
NA	VM-CUB1	VM-CUB-1	VM-CUB-1	VM-CUB-1	VM-CUB1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VMCUB1	NA	NA	NA	VMCUB1	CVCL_1786	VM-CUB-1
NA	LP-1	LP-1	LP-1	LP-1	LP-1	NA	LP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LP-1	LP1	NA	LP-1	NA	NA	CVCL_0012	LP-1
NA	LXF-289	LXF-289	LXF-289	LXF-289	LXF-289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LXF289	NA	NA	NA	LXF289	CVCL_1394	LXF 289
NA	PF-382	PF-382	PF-382	PF-382	PF-382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PF382	NA	NA	NA	NA	CVCL_1641	PF-382
NA	OCI-AML2	OCI-AML2	OCI-AML2	OCI-AML2	OCI-AML2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OCIAML2	NA	NA	NA	NA	CVCL_1619	OCI-AML-2
NA	KE-37	KE-37	KE-37	KE-37	KE-37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1327	KE-37
NA	KARPAS-422	KARPAS-422	KARPAS-422	KARPAS-422	KARPAS-422	NA	KARPAS422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KARPAS422	NA	NA	NA	NA	CVCL_1325	Karpas-422
NA	L-540	L-540	L-540	L-540	L-540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	L-540	NA	NA	L-540	NA	NA	CVCL_1362	L-540
NA	HDLM-2	HDLM-2	HDLM-2	HDLM-2	HDLM-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HDLM-2	NA	NA	HDLM-2	NA	NA	CVCL_0009	HDLM-2
NA	NA	IST-SL1	IST-SL1	IST-SL1	NA	NA	NA	NA	NA	NA	IST-SL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1313	IST-SL1
NA	Calu-3	Calu-3	Calu-3	Calu-3	Calu-3	NA	CALU3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0609	Calu-3
NA	NCI-H2009	NCI-H2009	NCI-H2009	NCI-H2009	NCI-H2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCI-H2009	NA	NA	NCI-H2009	NA	NCIH2009	CVCL_1514	NCI-H2009
NA	HCC1419	HCC1419	HCC1419	HCC1419	HCC1419	NA	HCC1419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HCC1419	NA	NA	NA	HCC1419	CVCL_1251	HCC1419
NA	NA	IST-SL2	IST-SL2	IST-SL2	NA	NA	NA	NA	NA	NA	IST-SL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1314	IST-SL2
NA	NB-1	NB1	NB1	NB1	NB-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NB1	NA	NA	NA	NB1	NA	NA
NA	ZR-75-30	ZR-75-30	ZR-75-30	ZR-75-30	ZR-75-30	NA	ZR7530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1661	ZR-75-30
NA	NCI-H2405	NCI-H2405	NCI-H2405	NCI-H2405	NCI-H2405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1551	NCI-H2405
NA	DEL	DEL	DEL	DEL	DEL	NA	DEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DEL	NA	NA	NA	NA	CVCL_1170	DEL
NA	BEN	BEN	BEN	BEN	BEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BEN	CVCL_1082	BEN
NA	RPMI-8402	RPMI-8402	RPMI-8402	RPMI-8402	RPMI-8402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1667	RPMI-8402
NA	SU-DHL-1	SU-DHL-1	SU-DHL-1	SU-DHL-1	SU-DHL-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SU-DHL-1	NA	NA	SU-DHL-1	NA	NA	CVCL_0538	SU-DHL-1
NA	P12-ICHIKAWA	P12-ICHIKAWA	P12-ICHIKAWA	P12-ICHIKAWA	P12-ICHIKAWA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1630	P12-Ichikawa
NA	BFTC-905	BFTC-905	BFTC-905	BFTC-905	BFTC-905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BFTC905	NA	NA	NA	BFTC905	CVCL_1083	BFTC-905
NA	BFTC-909	BFTC-909	BFTC-909	BFTC-909	BFTC-909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BFTC909	NA	NA	NA	BFTC909	CVCL_1084	BFTC-909
NA	MHH-ES-1	MHH-ES-1	NA	MHH-ES-1	MHH-ES-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MHH-ES-1	NA	NA	NA	NA	NA	MHHES1	CVCL_1411	MHH-ES-1
NA	JVM-3	JVM-3	JVM-3	JVM-3	JVM-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1320	JVM-3
NA	NOMO-1	NOMO-1	NOMO-1	NOMO-1	NOMO-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOMO-1	NOMO1	NA	NOMO-1	NA	NA	CVCL_1609	NOMO-1
NA	NCI-H727	NCI-H727	NCI-H727	NCI-H727	NCI-H727	NA	H727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NCIH727	NA	NA	NA	NCIH727	CVCL_1584	NCI-H727
NA	MKN-45	MKN45	MKN45	MKN45	MKN-45	NA	MKN45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MKN45	NA	NA	NA	MKN45	CVCL_0434	MKN45
NA	8505C	8505C	8505C	8505C	8505C	NA	NA	NA	NA	NA	NA	NA	NA	NA	8505C	NA	NA	NA	NA	NA	NA	NA	NA	NA	8505C	CVCL_1054	8505C
NA	KU-19-19	KU-19-19	KU-19-19	KU-19-19	KU-19-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KU1919	NA	NA	NA	KU1919	CVCL_1344	KU-19-19
NA	S-117	S-117	S-117	S-117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S117	NA	NA	NA	S117	CVCL_1674	S-117
NA	EM-2	EM-2	EM-2	EM-2	EM-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EM2	NA	NA	NA	NA	CVCL_1196	EM-2
NA	OPM-2	OPM-2	OPM-2	OPM-2	OPM-2	NA	OPM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	OPM2	NA	NA	OPM-2	OPM2	NA	OPM-2	NA	NA	CVCL_1625	OPM-2
NA	CAL-62	CAL-62	CAL-62	CAL-62	CAL-62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CAL62	NA	NA	NA	CAL62	CVCL_1112	CAL-62
NA	LCLC-103H	LCLC-103H	LCLC-103H	LCLC-103H	LCLC-103H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LCLC103H	NA	NA	NA	LCLC103H	CVCL_1375	LCLC-103H
NA	697	697	697	697	697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	697	NA	NA	NA	NA	NA	NA
NA	MHH-CALL-2	MHH-CALL-2	MHH-CALL-2	MHH-CALL-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1409	MHH-CALL-2
NA	L-428	L-428	L-428	L-428	L-428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	L-428	NA	NA	L-428	NA	NA	CVCL_1361	L-428
NA	MOLT-16	MOLT-16	MOLT-16	MOLT-16	MOLT-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1424	MOLT-16
NA	LCLC-97TM1	LCLC-97TM1	LCLC-97TM1	LCLC-97TM1	LCLC-97TM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LCLC97TM1	NA	NA	NA	NA	CVCL_1376	LCLC-97TM1
NA	23132/87	23132-87	23132-87	23132-87	23132/87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2313287	NA	NA	NA	2313287	CVCL_1046	23132/87
NA	BHT-101	BHT-101	BHT-101	BHT-101	BHT-101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BHT101	CVCL_1085	BHT-101
NA	JVM-2	JVM-2	JVM-2	JVM-2	JVM-2	NA	JVM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1319	JVM-2
NA	CAL-51	CAL-51	CAL-51	CAL-51	CAL-51	NA	CAL51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CAL51	NA	NA	NA	CAL51	CVCL_1110	CAL-51
NA	L-363	L-363	L-363	L-363	L-363	NA	L363	NA	NA	NA	NA	NA	NA	NA	NA	NA	L363	NA	NA	L-363	L363	NA	L-363	NA	NA	CVCL_1357	L-363
NA	KM-H2	KM-H2	KM-H2	KM-H2	KM-H2	NA	KMH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KM-H2	NA	NA	KM-H2	NA	NA	CVCL_1330	KM-H2
NA	SIMA	SIMA	SIMA	SIMA	SIMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIMA	NA	NA	NA	SIMA	CVCL_1695	SiMa
NA	B-CPAP	BCPAP	BCPAP	BCPAP	B-CPAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BCPAP	CVCL_0153	B-CPAP
NA	639-V	639-V	639-V	639-V	639-V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	639V	NA	NA	NA	639V	CVCL_1048	639V
NA	CAL-120	CAL-120	CAL-120	CAL-120	CAL-120	NA	CAL120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CAL120	NA	NA	NA	CAL120	CVCL_1104	CAL-120
NA	647-V	647-V	647-V	647-V	647-V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	647V	NA	NA	NA	647V	CVCL_1049	647V
NA	RH-18	RH-18	RH-18	RH-18	RH-18	NA	NA	NA	NA	Rh18	NA	NA	Rh18	NA	NA	NA	NA	Rh18	Rh18	NA	NA	NA	NA	NA	NA	CVCL_1659	Rh18
NA	Capan-2	Capan-2	Capan-2	Capan-2	Capan-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CAPAN2	CVCL_0026	Capan-2
NA	HuNS1	HuNS1	NA	NA	HuNS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HUNS1	NA	NA	NA	NA	CVCL_2526	HuNS1
NA	AML-193	AML-193	NA	NA	AML-193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AML193	NA	NA	NA	NA	CVCL_1071	AML-193
NA	NH-6	NH-6	NA	NA	NH-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1606	NH-6
NA	NCI-H508	NCI-H508	NA	NCI-H508	NCI-H508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1564	NCI-H508
NA	HuH-6	HUH-6-clone5	NA	HUH-6-clone5	HuH-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HUH6	NA	NA	NA	HUH6	CVCL_4381	HuH-6
NA	KP-N-SI9s	KP-N-S19s	NA	NA	KP-N-SI9s	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1340	KP-N-SI9s
NA	HuH28	HuH-28	NA	NA	HuH28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HUH28	CVCL_2955	HuH-28
NA	MJ	MJ	NA	NA	MJ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1414	MJ
NA	NA	LB647-SCLC	LB647-SCLC	LB647-SCLC	NA	NA	NA	NA	NA	NA	LB647-SCLC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1368	LB647-SCLC
NA	NA	LU-134-A	LU-134-A	LU-134-A	NA	NA	NA	NA	NA	NA	LU-134-A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1387	Lu-134-A
NA	NA	LU-135	LU-135	LU-135	NA	NA	NA	NA	NA	NA	LU-135	NA	NA	NA	NA	NA	NA	NA	NA	NA	LU135	NA	NA	NA	NA	CVCL_1389	Lu-135
NA	MOG-G-UVW	MOG-G-UVW	MOG-G-UVW	MOG-G-UVW	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2614	MOG-G-UVW
NA	NA	LU-139	LU-139	LU-139	NA	NA	NA	NA	NA	NA	LU-139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1390	Lu-139
NA	SW403	SW403	NA	SW403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SW403	NA	NA	NA	SW403	NA	NA	NA	NA	CVCL_0545	SW403
NA	KATO III	KATOIII	KATOIII	KATOIII	KATO III	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KATOIII	NA	NA	NA	NA	CVCL_0371	KATO III
NA	MOG-G-CCM	MOG-G-CCM	MOG-G-CCM	MOG-G-CCM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2613	MOG-G-CCM
NA	CML-T1	CML-T1	CML-T1	CML-T1	CML-T1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1126	CML-T1
NA	NALM-1	NALM-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0091	NALM-1
NA	MHH-CALL-4	MHH-CALL-4	MHH-CALL-4	NA	MHH-CALL-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1410	MHH-CALL-4
NA	NB-4	NB4	NB4	NB4	NB-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NB4	NA	NA	NA	NA	CVCL_0005	NB4
NA	1321N1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0110	1321N1
NA	143B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	143B	143B	NA	143B	NA	NA	NA	NA	CVCL_2270	143B
NA	253J	NA	NA	NA	253J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	253J	NA	NA	NA	253J	CVCL_7935	253J
NA	253J-BV	NA	NA	NA	253J-BV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	253JBV	CVCL_7937	253J-BV
NA	42-MG-BA	NA	42-MG-BA	42-MG-BA	42-MG-BA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42MGBA	NA	NA	NA	42MGBA	CVCL_1798	42-MG-BA
NA	59M	NA	NA	NA	NA	NA	59M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59M	NA	NA	NA	NA	CVCL_2291	59M
NA	8305C	NA	8305C	8305C	8305C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8305C	NA	NA	NA	8305C	CVCL_1053	8305C
NA	A1207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_8481	A-1207
NA	A4/Fuk	NA	NA	NA	A4/Fuk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1064	A4/Fukuda
NA	ACC-MESO-1	NA	NA	NA	ACC-MESO-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ACCMESO1	NA	NA	NA	ACCMESO1	CVCL_5113	ACC-MESO-1
NA	Alexander cells	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0485	PLC/PRF/5
NA	ALL-SIL	NA	ALL-SIL	ALL-SIL	ALL-SIL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1805	ALL-SIL
NA	AMO-1	NA	AMO-1	AMO-1	AMO-1	NA	AMO1	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMO1	NA	NA	AMO1	AMO1	NA	AMO1	NA	NA	CVCL_1806	AMO1
NA	AU565	NA	AU565	AU565	AU565	NA	AU565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AU565	NA	NA	NA	NA	CVCL_1074	AU565
NA	AZ-521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2862	AZ-521
NA	BC-3C	NA	NA	NA	BC-3C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BC3C	NA	NA	NA	BC3C	CVCL_1958	BC-3C
NA	BCP-1	NA	NA	NA	BCP-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0107	BCP-1
NA	BDCM	NA	NA	NA	BDCM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_4613	BDCM
