SEED	BEST_MATCH_SCORE	MATCH_1	MATCH_2	MATCH_3
42-MG-BA	0	42-MG-BA	RERF-GC-1B	CP50-MEL-B
8305C	0	8305C	M980513	WM35
ALL-SIL	0	ALL-SIL	VAL	CAL-29
AMO-1	0	AMO-1	OACM5-1	Mo
AU565	0	AU565	LU-165	H2595
BT-474	0	BT-474	BT-483	TE-4
BT-483	0	BT-483	BT-474	TE-4
CADO-ES1	0	CADO-ES1	AMO-1	CAL-29
CAL-29	0	CAL-29	CAL-78	COLO-829
CAL-78	0	CAL-78	CAL-29	COLO-783
CCK-81	0	CCK-81	HCC-78	HCC-15
CHP-126	0	CHP-126	SCCH-196	CHSA8926
CL-11	0	CL-11	COR-L311	CL-40
CL-34	0	CL-34	CL-40	CL-11
CL-40	0	CL-40	CL-34	CL-11
COLO-320	0	COLO-320	COLO-783	COLO-829
COLO-783	0	COLO-783	COLO-320	COLO-829
COR-L311	0	COR-L311	COR-L321	COR-L32
COR-L95	0	COR-L95	COR-L32	COR-L321
DAN-G	0	DAN-G	DND-41	GRANTA-519
DND-41	0	DND-41	DAN-G	NCI-H841
EBC-1	0	EBC-1	MEC-1	GB-1
ECC10	0	ECC10	HCC1500	EBC-1
EFM-192A	0	EFM-192A	MFE-319	ME-1
EJM	0	EJM	EFM-192A	JIMT-1
EN	0	EN	ES4	EJM
ES-2	0	ES-2	ESO26	MEC-2
FU-OV-1	0	FU-OV-1	FLO-1	NU-DUL-1
FU97	0	FU97	FU-OV-1	SNU-175
G-402	0	G-402	GA-10	CL-40
GA-10	0	GA-10	GB-1	KG-1
GB-1	0	GB-1	KG-1	GA-10
GRANTA-519	0	GRANTA-519	GA-10	DAN-G
HARA	0	HARA	Farage	HeLa
HCC-15	0	HCC-15	HCC-56	HCC1500
HCC-366	0	HCC-366	HCC-56	HCC-44
HCC-44	0	HCC-44	HCC-56	HCC-78
HCC-56	0	HCC-56	HCC-15	HCC-366
HCC-78	0	HCC-78	HCC-827	HCC-56
HCC1428	0	HCC1428	HCC1500	HCC1569
HCC1500	0	HCC1500	HCC-15	HCC1569
HCC1569	0	HCC1569	HCC-56	HCC-15
HCC202	0	HCC202	HCC-827	HCC1500
HDQ-P1	0	HDQ-P1	QGP-1	huH-1
HPAC	0	HPAC	HeLa	HARA
huH-1	0	huH-1	JHH-1	JHU-011
IGR-37	0	IGR-37	IOSE-397	PCI-30
JeKo-1	0	JEKO-1	ME-1	KG-1
JHH-1	0	JHH-1	JHH-2	JHH-4
JHH-2	0	JHH-2	JHH-1	JHH-4
JHH-4	0	JHH-4	JHH-1	JHH-2
JHH-6	0	JHH-6	JHH-1	JHH-2
JHH-7	0	JHH-7	JHH-1	JHH-2
JHOS-2	0	JHOS-2	JHOS-4	JHOS-3
JHOS-4	0	JHOS-4	JHOS-3	JHOS-2
JIMT-1	0	JIMT-1	ML-1	ME-1
JJN-3	0	JJN-3	SKN-3	JHOS-3
JM1	0	JM1	ML-1	ME-1
JURKAT	0	JURKAT	JURL-MK1	OVKATE
JURL-MK1	0	JURL-MK1	JURKAT	JHU-011
KARPAS-620	0	KARPAS-620	KARPAS-231	KARPAS-1106P
KCL-22	0	KCL-22	CAL-29	LN-229
KELLY	0	KELLY	KLE	SK-MEL-1
KG-1	0	KG-1	GB-1	KYM-1
KLE	0	KLE	KELLY	KCL-22
KMRC-1	0	KMRC-1	KMRC-20	KYM-1
KMRC-20	0	KMRC-20	KMRC-1	MEC-2
KMS-11	0	KMS-11	KYM-1	KMRC-1
KOPN-8	0	KOPN-8	KON	MOLP-8
KP-2	0	KP-2	KP-3	KP-1N
KP-3	0	KP-3	KP-2	KP-1N
KU812	0	KU812	CCK-81	SNU-81
KYM-1	0	KYM-1	KYAE-1	KMRC-1
L-1236	0	L-1236	LU-165	ML-1
LN-18	0	LN-18	LS-180	SNU-182
LN-229	0	LN-229	LN-18	CAL-29
LOU-NH91	0	LOU-NH91	FLO-1	OCUM-1
M059K	0	M059K	M00921	M980513
MC116	0	MC116	MEC-1	CL-11
MDA-MB-436	0	MDA-MB-436	MDA-MB-330	MONO-MAC-1
MDST8	0	MDST8	Mo-T	MM1S
ME-1	0	ME-1	MEC-1	MFE-319
MEC-1	0	MEC-1	ME-1	MEC-2
MEC-2	0	MEC-2	MEC-1	MET-2B
MFE-319	0	MFE-319	ME-1	MEC-1
ML-1	0	ML-1	MOLM-13	MOLM-16
MOLM-13	0	MOLM-13	MOLM-16	ML-1
MOLM-16	0	MOLM-16	MOLM-13	ML-1
MOLP-8	0	MOLP-8	MOLM-13	MOLM-16
MONO-MAC-1	0	MONO-MAC-1	Mo	EMC-BAC-1
MV-4-11	0	MV-4-11	ML-1	ME-1
NAMALWA	0	NAMALWA	VAL	OCI-AML5
NCI-H1341	0	NCI-H1341	NCI-H1734	NCI-H1417
NCI-H1435	0	NCI-H1435	NCI-H2135	NCI-H1734
NCI-H1568	0	NCI-H1568	NCI-H1581	NCI-H1648
NCI-H1581	0	NCI-H1581	NCI-H1568	NCI-H1781
NCI-H1623	0	NCI-H1623	NCI-H1963	NCI-H196
NCI-H1648	0	NCI-H1648	NCI-H1688	NCI-H1568
NCI-H1694	0	NCI-H1694	NCI-H1648	NCI-H1944
NCI-H1734	0	NCI-H1734	NCI-H1341	NCI-H187
NCI-H1781	0	NCI-H1781	NCI-H1581	NCI-H187
NCI-H1836	0	NCI-H1836	NCI-H1869	NCI-H1876
NCI-H1869	0	NCI-H1869	NCI-H1694	NCI-H69
NCI-H1876	0	NCI-H1876	NCI-H187	NCI-H1869
NCI-H1915	0	NCI-H1915	NCI-H1581	NCI-H196
NCI-H1944	0	NCI-H1944	NCI-H1694	NCI-H196
NCI-H196	0	NCI-H196	NCI-H1963	NCI-H1869
NCI-H1963	0	NCI-H1963	NCI-H196	NCI-H1623
NCI-H2023	0	NCI-H2023	NCI-H720	NCI-H1623
NCI-H2066	0	NCI-H2066	NCI-H660	NCI-H720
NCI-H2085	0	NCI-H2085	NCI-H835	NCI-H720
NCI-H211	0	NCI-H211	NCI-H2110	NCI-H1915
NCI-H2110	0	NCI-H2110	NCI-H211	NCI-H720
NCI-H2122	0	NCI-H2122	NCI-H2172	NCI-H211
NCI-H2172	0	NCI-H2172	NCI-H2122	NCI-H187
NCI-H2286	0	NCI-H2286	NCI-H1869	NCI-H2023
NCI-H2444	0	NCI-H2444	NCI-H1944	NCI-H740
NCI-H647	0	NCI-H647	NCI-H847	NCI-H1648
NCI-H660	0	NCI-H660	NCI-H2066	NCI-H69
NCI-H69	0	NCI-H69	NCI-H1869	NCI-H1694
NCI-H841	0	NCI-H841	NCI-H847	NCI-H1648
NCI-H929	0	NCI-H929	NCI-H69	NCI-H196
NU-DUL-1	0	NU-DUL-1	SU-DHL-10	SU-DHL-16
NUGC-4	0	NUGC-4	NCI-H740	NCI-H841
OCI-AML3	0	OCI-AML3	OCI-AML5	OCI-M1
OCI-AML5	0	OCI-AML5	OCI-AML3	OCI-M1
OCI-LY-19	0	OCI-LY-19	OCI-LY7	OCI-M1
OCI-M1	0	OCI-M1	OCI-AML5	OCI-AML3
OCUM-1	0	OCUM-1	OACM5-1	OCI-M1
OV-90	0	OV-90	OV-7	OV-56
OVISE	0	OVISE	OVMIU	OVKATE
OVKATE	0	OVKATE	OVK-18	OVISE
OVTOKO	0	OVTOKO	OVKATE	OVK-18
PA-TU-8902	0	PA-TU-8902	PA-TU-8988T	PANC-02-03
PA-TU-8988T	0	PA-TU-8988T	PA-TU-8902	PANC-02-03
PL-21	0	PL-21	ML-1	KP-2
QGP-1	0	QGP-1	GB-1	KG-1
RCH-ACV	0	RCH-ACV	RCC-AB	RC-K8
RERF-GC-1B	0	RERF-GC-1B	RERF-LC-Sq1	RERF-LC-KJ
RERF-LC-KJ	0	RERF-LC-KJ	RERF-LC-Sq1	RERF-GC-1B
RERF-LC-Sq1	0	RERF-LC-Sq1	RERF-GC-1B	RERF-LC-KJ
RH-41	0	RH-41	SH-4	JHH-1
RKN	0	RKN	SKN	SKN-3
RL95-2	0	RL95-2	PL-21	I-9-2
RT4	0	RT4	TE-4	RH-41
SCaBER	0	SCaBER	SAT	RCC-AB
SH-4	0	SH-4	Hs-445	RH-41
SIG-M5	0	SIG-M5	Sci-1	OCI-AML5
SK-ES-1	0	SK-ES-1	SK-MEL-1	SK-MEL-31
SK-MEL-1	0	SK-MEL-1	SK-MEL-31	SK-ES-1
SK-MEL-31	0	SK-MEL-31	SK-MEL-1	SK-ES-1
SK-N-SH	0	SK-N-SH	SKN	SK-PN-DW
SNU-1040	0	SNU-1040	SNU-61	SNU-81
SNU-175	0	SNU-175	SNU-61	SNU-C5
SNU-182	0	SNU-182	SNU-81	SNU-61
SNU-283	0	SNU-283	SNU-182	SNU-398
SNU-398	0	SNU-398	SNU-283	SNU-81
SNU-407	0	SNU-407	SNU-1040	SNU-175
SNU-61	0	SNU-61	SNU-81	SNU-182
SNU-81	0	SNU-81	SNU-182	SNU-61
SNU-C5	0	SNU-C5	SNU-175	SNU-61
SU-DHL-10	0	SU-DHL-10	SU-DHL-16	SU-DHL-8
SU-DHL-4	0	SU-DHL-4	SU-DHL-8	SU-DHL-6
SU-DHL-5	0	SU-DHL-5	SU-DHL-8	SU-DHL-4
SU-DHL-6	0	SU-DHL-6	SU-DHL-16	SU-DHL-8
SU-DHL-8	0	SU-DHL-8	SU-DHL-4	SU-DHL-6
SUIT-2	0	SUIT-2	SUP-M2	SNU-182
SUP-B15	0	SUP-B15	SUP-HD1	SUP-M2
SUP-HD1	0	SUP-HD1	SUP-B15	SUP-M2
SUP-M2	0	SUP-M2	SUP-B15	SUP-HD1
TC-71	0	TC-71	MEC-1	JSC-1
TE-4	0	TE-4	TE-441-T	BT-474
TOV-112D	0	TOV-112D	TOV-21G	HT-115
TOV-21G	0	TOV-21G	TOV-112D	OVK-18
TT2609-C02	0	TT2609-C02	T-T	H2869
UACC-893	0	UACC-893	SACC-83	CCK-81
VCaP	0	VCaP	VAL	OVCA420
VMRC-LCD	0	VMRC-LCD	MC-CAR	KMRC-1
WM-266-4	0	WM-266-4	WM278	WM1552C
WSU-DLCL2	0	WSU-DLCL2	SU-DHL-8	SU-DHL-4
BICR 22	0.028571429	BICR22	BICR78	BICR10
BICR 31	0.028571429	BICR31	BICR10	BICR78
HCC827	0.033333333	HCC-827	HCC-78	HCC202
Hs 746T	0.038095238	Hs746T	Hs-766T	Hs-633T
SW 1271	0.038095238	SW1271	SW156	WM278
OVK18	0.038888889	OVK-18	OVKATE	OV-17R
HT115	0.044444444	HT-115	H3118	HCC-15
MM1-S	0.046666667	MM1S	MZ1-PC	MOLM-13
COLO 829	0.05	COLO-829	COLO-320	COLO-783
IM95	0.053333333	IM-95	M980513	M059K
OV56	0.053333333	OV-56	OV-7	OVISE
G-292, clone A141B1	0.05380117	G-292-Clone-A141B1	G-MEL	G-402
Ishikawa (Heraklio) 02 ER-	0.055852843	Ishikawa_Heraklio_02ER-	Ishikawa	HARA
OV7	0.066666667	OV-7	OV-17R	OVISE
SU.86.86	0.066666667	SU8686	SU-DHL-8	SU-DHL-6
Hs 766T	0.076190476	Hs-766T	Hs746T	Hs-633T
Panc 02.03	0.08	PANC-02-03	PANC-04-03	NCC021
Panc 04.03	0.08	PANC-04-03	PANC-02-03	NCC010
Hs 683	0.088888889	Hs-683	Hs-633T	Hs746T
LS 180	0.088888889	LS-180	PL18	LN-18
Hep 3B2.1-7	0.091683502	Hep3B2-1-7	Hey	H2731
PE/CA-PJ15	0.112592593	PE-CA-PJ15	PCI-15A	MEC-1
Hs 940.T	0.133333333	Hs-940-T	Hs-944-T	Hs746T
Hs 944.T	0.133333333	Hs-944-T	Hs-940-T	Hs746T
TE 441.T	0.133333333	TE-441-T	TE-4	RT4
T.T	0.2	T-T	TT2609-C02	TK
