SEED	BEST_MATCH_SCORE	MATCH_1	MATCH_2	MATCH_3
BL-70	0	BL-70	BC-2	BC-3
Calu-1	0	Calu-1	TALL-1	Caov-2
Caov-3	0	Caov-3	Caov-2	CRO-AP3
DV-90	0	DV-90	OVCAR-10	DMS-153
EFE-184	0	EFE-184	TF-1	NCI-H1184
HCC-33	0	HCC-33	BC-3	MCC13
HT	0	HT	H2596	HCC-33
KG-1-C	0	KG-1-C	K1	MKL-1-subclone-2
KP-N-RT-BM-1	0	KP-N-RT-BM-1	KP-N-YS	KG-1-C
KYSE-30	0	KYSE-30	Kasumi-3	OSA-80
MCAS	0	MCAS	MCC13	MCC26
MDA-MB-175-VII	0	MDA-MB-175-VII	MB157	MY-M12
MHH-ES-1	0	MHH-ES-1	YMB-1-E	MY-M12
NCI-H1184	0	NCI-H1184	NCI-H1618	NCI-H128
NCI-H1385	0	NCI-H1385	NCI-H128	NCI-H735
NCI-H1437	0	NCI-H1437	NCI-H1184	NCI-H1385
NCI-H1618	0	NCI-H1618	NCI-H1184	NCI-H128
NCI-H2081	0	NCI-H2081	NCI-H128	NCI-H820
NCI-H2171	0	NCI-H2171	NCI-H2107	NCI-H1184
NCI-H460	0	NCI-H460	NCI-H1404	NCI-H220
NCI-H508	0	NCI-H508	NCI-H2081	NCI-H820
OUMS-23	0	OUMS-23	DMS-153	OMC-1
P3HR-1	0	P3HR-1	Tera-1	JHU-013
RD-ES	0	RD-ES	MHH-ES-1	VMRC-MELG
SCLC-21H	0	SCLC-21H	Calu-1	UDSCC2
SW403	0	SW403	Sarc9371	EW7476
TALL-1	0	TALL-1	Tera-1	Calu-1
TF-1	0	TF-1	TMK-1	TALL-1
Toledo	0	Toledo	TALL-1	Tera-1
VMRC-RCW	0	VMRC-RCW	VMRC-MELG	MC-IXC
